右上経度,右上緯度,左下経度,左下緯度,kW単価(φ800mm)_Dg3
34.7235,135.4512,34.7207,135.4484,1203.625309
34.7235,135.4539,34.7207,135.4512,1172.201027
34.7235,135.4566,34.7207,135.4539,1150.455199
34.7235,135.4594,34.7207,135.4566,1143.51331
34.7235,135.4621,34.7207,135.4593,1135.340085
34.7235,135.4648,34.7207,135.4621,1139.877001
34.7235,135.4676,34.7207,135.4648,1132.867072
34.7235,135.4703,34.7207,135.4675,1144.771698
34.7235,135.473,34.7208,135.4703,1132.497647
34.7236,135.4757,34.7208,135.473,1131.689585
34.7236,135.4785,34.7208,135.4757,1133.71036
34.7236,135.4812,34.7208,135.4785,1136.058783
34.7236,135.4839,34.7208,135.4812,1212.115648
34.7236,135.4867,34.7208,135.4839,1233.53701
34.7236,135.4894,34.7208,135.4867,1244.997312
34.7236,135.4921,34.7208,135.4894,1263.08498
34.7236,135.4949,34.7208,135.4921,1271.974705
34.7237,135.4976,34.7209,135.4948,1461.390422
34.7237,135.5003,34.7209,135.4976,1629.882305
34.7237,135.5031,34.7209,135.5003,1870.710139
34.7237,135.5058,34.7209,135.503,2401.87979
34.7237,135.5085,34.7209,135.5058,4531.638543
34.7238,135.5467,34.7211,135.544,5327.36085
34.7239,135.5495,34.7211,135.5467,4703.770549
34.7239,135.5522,34.7211,135.5494,5313.366032
34.7239,135.5549,34.7211,135.5522,5060.770649
34.7212,135.4539,34.7184,135.4512,1186.723589
34.7212,135.4567,34.7184,135.4539,1170.323142
34.7212,135.4594,34.7184,135.4566,1145.52965
34.7212,135.4621,34.7185,135.4594,1140.966549
34.7213,135.4648,34.7185,135.4621,1142.532555
34.7213,135.4676,34.7185,135.4648,1152.095778
34.7213,135.4703,34.7185,135.4676,1155.943732
34.7213,135.473,34.7185,135.4703,1148.155073
34.7213,135.4758,34.7185,135.473,1136.411408
34.7213,135.4785,34.7185,135.4757,1134.797541
34.7213,135.4812,34.7185,135.4785,1149.88816
34.7213,135.484,34.7185,135.4812,1208.228571
34.7214,135.4867,34.7186,135.4839,1216.96572
34.7214,135.4894,34.7186,135.4867,1238.964097
34.7214,135.4921,34.7186,135.4894,1248.689926
34.7214,135.4949,34.7186,135.4921,1263.907875
34.7214,135.4976,34.7186,135.4949,1316.554929
34.7214,135.5003,34.7186,135.4976,1344.356668
34.7214,135.5031,34.7186,135.5003,1563.081634
34.7214,135.5058,34.7186,135.503,2360.150471
34.7214,135.5085,34.7186,135.5058,4359.097707
34.719,135.4539,34.7162,135.4512,1192.576019
34.719,135.4567,34.7162,135.4539,1203.404944
34.719,135.4594,34.7162,135.4566,1180.306344
34.719,135.4621,34.7162,135.4594,1179.552261
34.719,135.4649,34.7162,135.4621,1176.734883
34.719,135.4676,34.7162,135.4648,1174.049199
34.719,135.4703,34.7162,135.4676,1193.659706
34.719,135.473,34.7162,135.4703,1197.091145
34.7191,135.4758,34.7163,135.473,1198.119645
34.7191,135.4785,34.7163,135.4758,1178.844467
34.7191,135.4812,34.7163,135.4785,1156.658709
34.7191,135.484,34.7163,135.4812,1181.388689
34.7191,135.4867,34.7163,135.4839,1185.990534
34.7191,135.4894,34.7163,135.4867,1207.755166
34.7191,135.4922,34.7163,135.4894,1228.304917
34.7191,135.4949,34.7163,135.4921,1252.81848
34.7191,135.4976,34.7163,135.4949,1330.459193
34.7192,135.5003,34.7164,135.4976,1415.55048
34.7192,135.5031,34.7164,135.5003,1633.359983
34.7192,135.5058,34.7164,135.5031,2319.846578
34.7192,135.5085,34.7164,135.5058,4327.782409
34.7193,135.5468,34.7165,135.544,5393.656897
34.7193,135.5495,34.7166,135.5467,6204.359927
34.7195,135.5877,34.7167,135.585,4010.485135
34.7167,135.4512,34.7139,135.4485,1221.389462
34.7167,135.454,34.7139,135.4512,1226.90633
34.7167,135.4567,34.7139,135.4539,1227.58591
34.7167,135.4594,34.7139,135.4567,1207.323003
34.7167,135.4621,34.7139,135.4594,1191.197744
34.7168,135.4649,34.714,135.4621,1183.632461
34.7168,135.4676,34.714,135.4649,1179.511912
34.7168,135.4703,34.714,135.4676,1201.468912
34.7168,135.4731,34.714,135.4703,1216.528961
34.7168,135.4758,34.714,135.473,1220.422684
34.7168,135.4785,34.714,135.4758,1224.140024
34.7168,135.4813,34.714,135.4785,1213.480753
34.7168,135.484,34.714,135.4812,1198.34079
34.7168,135.4867,34.7141,135.484,1199.432957
34.7169,135.4894,34.7141,135.4867,1213.859602
34.7169,135.4922,34.7141,135.4894,1240.146702
34.7169,135.4949,34.7141,135.4922,1257.282693
34.7169,135.4976,34.7141,135.4949,1330.13784
34.7169,135.5004,34.7141,135.4976,1432.302385
34.7169,135.5031,34.7141,135.5003,1658.39716
34.7169,135.5058,34.7141,135.5031,2351.620288
34.7169,135.5086,34.7141,135.5058,4334.863972
34.7171,135.5468,34.7143,135.544,5393.656897
34.7171,135.5495,34.7143,135.5468,6204.359927
34.7172,135.5877,34.7144,135.585,5582.211599
34.7172,135.5904,34.7144,135.5877,3011.346903
34.7144,135.4458,34.7116,135.443,1224.494492
34.7144,135.4485,34.7116,135.4458,1231.027621
34.7144,135.4512,34.7116,135.4485,1225.42055
34.7145,135.454,34.7117,135.4512,1233.59654
34.7145,135.4567,34.7117,135.4539,1232.619602
34.7145,135.4594,34.7117,135.4567,1212.085795
34.7145,135.4622,34.7117,135.4594,1200.134392
34.7145,135.4649,34.7117,135.4621,1195.773936
34.7145,135.4676,34.7117,135.4649,1194.16308
34.7145,135.4703,34.7117,135.4676,1215.68598
34.7145,135.4731,34.7117,135.4703,1226.844382
34.7145,135.4758,34.7118,135.4731,1227.708496
34.7146,135.4785,34.7118,135.4758,1225.157486
34.7146,135.4813,34.7118,135.4785,1227.88254
34.7146,135.484,34.7118,135.4812,1209.422472
34.7146,135.4867,34.7118,135.484,1217.293429
34.7146,135.4895,34.7118,135.4867,1230.412913
34.7146,135.4922,34.7118,135.4894,1252.595571
34.7146,135.4949,34.7118,135.4922,1269.292596
34.7146,135.4976,34.7118,135.4949,1343.54635
34.7146,135.5004,34.7119,135.4976,1426.864559
34.7147,135.5031,34.7119,135.5004,1648.221775
34.7147,135.5058,34.7119,135.5031,2307.221195
34.7147,135.5086,34.7119,135.5058,4332.905761
34.7148,135.5468,34.712,135.544,6160.268029
34.7148,135.5495,34.712,135.5468,5879.713187
34.715,135.5877,34.7122,135.585,3887.164644
34.715,135.5905,34.7122,135.5877,2025.321765
34.7121,135.4403,34.7093,135.4376,1252.876313
34.7121,135.4431,34.7094,135.4403,1267.991536
34.7122,135.4458,34.7094,135.443,1260.776617
34.7122,135.4485,34.7094,135.4458,1257.155671
34.7122,135.4513,34.7094,135.4485,1252.445437
34.7122,135.454,34.7094,135.4512,1258.235943
34.7122,135.4567,34.7094,135.454,1269.7762
34.7122,135.4594,34.7094,135.4567,1256.789442
34.7122,135.4622,34.7094,135.4594,1242.497368
34.7122,135.4649,34.7094,135.4622,1217.933436
34.7123,135.4676,34.7095,135.4649,1222.22226
34.7123,135.4704,34.7095,135.4676,1250.280076
34.7123,135.4731,34.7095,135.4703,1265.238269
34.7123,135.4758,34.7095,135.4731,1264.739454
34.7123,135.4786,34.7095,135.4758,1255.873289
34.7123,135.4813,34.7095,135.4785,1260.163441
34.7123,135.484,34.7095,135.4813,1249.628575
34.7123,135.4867,34.7095,135.484,1265.308147
34.7124,135.4895,34.7096,135.4867,1302.066068
34.7124,135.4922,34.7096,135.4895,1249.565461
34.7124,135.4949,34.7096,135.4922,1281.029682
34.7124,135.4977,34.7096,135.4949,1329.317028
34.7124,135.5004,34.7096,135.4976,1431.816818
34.7124,135.5031,34.7096,135.5004,1673.342489
34.7124,135.5058,34.7096,135.5031,2344.283058
34.7124,135.5086,34.7096,135.5058,4526.168434
34.7127,135.5877,34.7099,135.585,2639.349286
34.7127,135.5905,34.7099,135.5877,1595.966336
34.7099,135.4349,34.7071,135.4321,1305.700958
34.7099,135.4376,34.7071,135.4349,1283.784004
34.7099,135.4403,34.7071,135.4376,1272.385648
34.7099,135.4431,34.7071,135.4403,1262.76129
34.7099,135.4458,34.7071,135.4431,1250.6866
34.7099,135.4485,34.7071,135.4458,1247.973851
34.7099,135.4513,34.7071,135.4485,1246.804324
34.7099,135.454,34.7071,135.4512,1255.627985
34.71,135.4567,34.7072,135.454,1256.257586
34.71,135.4595,34.7072,135.4567,1259.966248
34.71,135.4622,34.7072,135.4594,1261.622492
34.71,135.4649,34.7072,135.4622,1261.800848
34.71,135.4676,34.7072,135.4649,1258.868877
34.71,135.4704,34.7072,135.4676,1259.744504
34.71,135.4731,34.7072,135.4704,1265.948151
34.71,135.4758,34.7072,135.4731,1270.771643
34.7101,135.4786,34.7073,135.4758,1268.53055
34.7101,135.4813,34.7073,135.4785,1272.471232
34.7101,135.484,34.7073,135.4813,1286.316888
34.7101,135.4868,34.7073,135.484,1307.767161
34.7101,135.4895,34.7073,135.4867,1327.198631
34.7101,135.4922,34.7073,135.4895,1340.937579
34.7101,135.4949,34.7073,135.4922,1351.007872
34.7101,135.4977,34.7073,135.4949,1371.224355
34.7101,135.5004,34.7073,135.4977,1419.169175
34.7102,135.5031,34.7074,135.5004,1638.787122
34.7102,135.5059,34.7074,135.5031,2279.259192
34.7102,135.5086,34.7074,135.5058,4248.523591
34.7105,135.585,34.7077,135.5823,3785.317535
34.7105,135.5878,34.7077,135.585,1856.751533
34.7105,135.5905,34.7077,135.5877,1216.736316
34.7105,135.5932,34.7077,135.5905,983.9219662
34.7105,135.5959,34.7077,135.5932,1077.723676
34.7105,135.5987,34.7077,135.5959,1164.164276
34.7076,135.4322,34.7048,135.4294,1337.731268
34.7076,135.4349,34.7048,135.4322,1333.125874
34.7076,135.4376,34.7048,135.4349,1328.275375
34.7076,135.4404,34.7048,135.4376,1318.517119
34.7076,135.4431,34.7048,135.4403,1324.247943
34.7077,135.4458,34.7049,135.4431,1331.167647
