右上経度,右上緯度,左下経度,左下緯度,kW単価(φ800mm)_Dg2
34.7462,135.4893,34.7434,135.4865,55.19640832
34.7462,135.492,34.7434,135.4892,92.51057811
34.7462,135.4947,34.7434,135.492,255.5824565
34.7439,135.4893,34.7411,135.4865,49.62216599
34.7439,135.492,34.7411,135.4893,73.17459836
34.7439,135.4947,34.7411,135.492,102.717277
34.7439,135.4975,34.7411,135.4947,249.8817325
34.7439,135.5002,34.7412,135.4974,377.2064313
34.7416,135.4893,34.7389,135.4865,25.34812112
34.7417,135.492,34.7389,135.4893,52.08911353
34.7417,135.4948,34.7389,135.492,58.83944857
34.7417,135.4975,34.7389,135.4947,90.39562406
34.7417,135.5002,34.7389,135.4975,240.7528154
34.7417,135.5029,34.7389,135.5002,428.1413124
34.7394,135.4893,34.7366,135.4866,25.41691613
34.7394,135.492,34.7366,135.4893,52.08911353
34.7394,135.4948,34.7366,135.492,58.83944857
34.7394,135.4975,34.7366,135.4947,90.39562406
34.7394,135.5002,34.7366,135.4975,240.7528154
34.7395,135.503,34.7367,135.5002,428.1413124
34.7371,135.4866,34.7343,135.4838,24.24788853
34.7371,135.4893,34.7343,135.4866,25.41691613
34.7372,135.492,34.7344,135.4893,27.22384374
34.7372,135.4948,34.7344,135.492,51.11964138
34.7372,135.4975,34.7344,135.4948,66.94962568
34.7372,135.5002,34.7344,135.4975,134.9220916
34.7349,135.4811,34.7321,135.4784,23.19719687
34.7349,135.4839,34.7321,135.4811,23.39456154
34.7349,135.4866,34.7321,135.4839,24.68560191
34.7349,135.4893,34.7321,135.4866,25.800427
34.7349,135.4921,34.7321,135.4893,28.34755405
34.7349,135.4948,34.7321,135.492,29.39540411
34.7349,135.4975,34.7321,135.4948,67.42112314
34.7349,135.5003,34.7321,135.4975,123.6776134
34.7349,135.503,34.7321,135.5002,401.5423301
34.7351,135.5549,34.7323,135.5521,411.3720077
34.7352,135.5576,34.7324,135.5548,411.87614
34.7352,135.5603,34.7324,135.5576,394.4729228
34.7352,135.5631,34.7324,135.5603,434.7877494
34.7325,135.4566,34.7297,135.4538,20.47328867
34.7325,135.4593,34.7297,135.4566,20.64508732
34.7326,135.4784,34.7298,135.4757,22.21110416
34.7326,135.4812,34.7298,135.4784,23.03359649
34.7326,135.4839,34.7298,135.4811,24.08232593
34.7326,135.4866,34.7298,135.4839,25.07349098
34.7326,135.4893,34.7298,135.4866,26.30089885
34.7326,135.4921,34.7298,135.4893,28.10252879
34.7327,135.4948,34.7299,135.4921,28.77124654
34.7327,135.4975,34.7299,135.4948,63.91002754
34.7327,135.5003,34.7299,135.4975,118.0269327
34.7327,135.503,34.7299,135.5002,441.0642129
34.7329,135.5494,34.7301,135.5467,428.1413124
34.7329,135.5521,34.7301,135.5494,340.1730063
34.7329,135.5549,34.7301,135.5521,291.2399742
34.7329,135.5576,34.7301,135.5549,372.1937212
34.7302,135.4539,34.7274,135.4511,19.98718657
34.7302,135.4566,34.7274,135.4538,20.07710905
34.7302,135.4593,34.7275,135.4566,20.25121986
34.7303,135.4621,34.7275,135.4593,20.47220372
34.7303,135.4648,34.7275,135.462,20.62367307
34.7303,135.4757,34.7275,135.473,21.84533913
34.7303,135.4784,34.7275,135.4757,22.3229389
34.7303,135.4812,34.7275,135.4784,22.83938151
34.7304,135.4839,34.7276,135.4811,24.55990822
34.7304,135.4866,34.7276,135.4839,25.85621757
34.7304,135.4894,34.7276,135.4866,26.47211936
34.7304,135.4921,34.7276,135.4893,27.06201021
34.7304,135.4948,34.7276,135.4921,27.48924982
34.7304,135.4975,34.7276,135.4948,63.18660867
34.7304,135.5003,34.7276,135.4975,121.0150055
34.7306,135.5467,34.7278,135.5439,399.6324973
34.7306,135.5494,34.7278,135.5467,346.1286614
34.7306,135.5522,34.7278,135.5494,416.9862658
34.7306,135.5549,34.7278,135.5521,402.9867269
34.7306,135.5576,34.7279,135.5549,446.9294285
34.728,135.4511,34.7252,135.4484,22.14376243
34.728,135.4539,34.7252,135.4511,22.32721016
34.728,135.4566,34.7252,135.4539,21.67500766
34.728,135.4593,34.7252,135.4566,21.7868035
34.728,135.4621,34.7252,135.4593,21.88827284
34.728,135.4648,34.7252,135.4621,21.39144231
34.728,135.4675,34.7252,135.4648,21.30657135
34.728,135.4703,34.7252,135.4675,21.51354775
34.7281,135.473,34.7253,135.4702,21.68123537
34.7281,135.4757,34.7253,135.473,21.91132261
