原点(緯度),原点(経度),kW単価(φ800mm)_Dg1,kW単価(φ800mm)_Dg2,kW単価(φ800mm)_Dg3,kW単価(φ800mm)_Dg4
34.76527672,135.5478547,,,,
34.76301293,135.5451355,0,,,
34.76302309,135.547867,0,,,
34.76303321,135.5505985,0,,,
34.76304329,135.55333,212.8790088,,,
34.7607593,135.5451479,269.4957664,,,
34.76076946,135.5478793,253.3260204,,,
34.76077957,135.5506107,166.2971688,,,
34.76078965,135.5533421,130.0219095,,,
34.75850568,135.5451602,242.0312297,,,
34.75851583,135.5478916,158.8250912,,,
34.75852594,135.5506229,115.2354907,,,
34.75622127,135.5369789,0,,,
34.7562316,135.5397102,341.5631736,,,
34.75624187,135.5424414,189.9945153,,,
34.75625208,135.5451726,146.5724323,,,
34.75626223,135.5479039,113.5991123,,,
34.75627234,135.5506352,98.06168533,,,
34.75395728,135.5342604,0,,,
34.75396767,135.5369916,0,,,
34.75397801,135.5397227,0,,,
34.75398828,135.5424539,217.1365889,,,
34.75399849,135.5451851,112.0911595,,,
34.75400865,135.5479162,95.8358211,,,
34.75401875,135.5506474,90.1516087,,,
34.75402882,135.5533786,87.35380015,,,
34.75403884,135.5561099,84.91374987,,,
34.75170367,135.5342731,0,,,
34.75171407,135.5370042,0,,,
34.75172441,135.5397353,0,,,
34.75173469,135.5424664,229.2543171,,,
34.7517449,135.5451975,103.7512712,,,
34.75175506,135.5479286,92.17441617,,,
34.75176517,135.5506597,88.16450827,,,
34.75177523,135.5533908,86.70599673,,,
34.75178523,135.556122,80.42095887,,,
34.75179518,135.5588531,71.25907748,,,
34.75180506,135.5615843,63.91741475,,,
34.74945008,135.5342858,235.652112,0,0,0
34.74946047,135.5370168,286.2440909,0,0,0
34.74947081,135.5397478,287.8704778,0,0,0
34.74948109,135.5424789,162.3884746,0,0,0
34.74949131,135.5452099,96.13890719,0,0,0
34.74950147,135.5479409,92.17441617,0,0,0
34.74951157,135.550672,88.16450827,0,0,0
34.74952163,135.553403,86.70599673,0,0,0
34.74953163,135.5561341,80.42095887,0,0,0
34.74954157,135.5588652,71.25907748,0,0,0
34.74703325,135.4933342,0,0,0,1955.834814
34.74704454,135.4960651,0,0,0,0
34.74705577,135.4987961,0,0,0,0
34.74706695,135.501527,346.231463,0,0,0
34.74719648,135.5342985,235.652112,0,0,0
34.74720688,135.5370294,286.2440909,0,0,5830.543785
34.74721722,135.5397604,287.8704778,0,0,0
34.7472275,135.5424913,162.3884746,0,0,0
34.74723772,135.5452223,96.13890719,0,0,0
34.74724787,135.5479533,91.17913153,0,0,0
34.74725798,135.5506842,89.04253794,0,0,0
34.74726803,135.5534152,86.06773061,0,0,0
34.74727803,135.5561462,78.34825374,0,0,0
34.74728796,135.5588772,59.79371057,0,0,0
34.74475686,135.4878862,187.8808557,55.19640832,1292.339452,1398.278986
34.74476827,135.4906171,190.2323057,92.51057811,1840.201309,1123.216881
34.74477963,135.493348,281.9955701,255.5824565,4614.345254,1393.449493
34.74479092,135.4960788,233.8394035,0,0,0
34.74480216,135.4988097,192.6433616,0,0,0
34.74481333,135.5015406,215.9028583,0,0,0
34.74487918,135.5179259,0,0,0,0
34.74488996,135.5206568,221.8914048,0,0,0
34.74490067,135.5233877,232.0543699,0,0,0
34.74491132,135.5261185,273.865968,0,0,0
34.74492191,135.5288494,241.6464424,0,0,0
34.74493243,135.5315803,203.2026902,0,0,0
34.74494289,135.5343112,201.5856927,0,0,0
34.74495329,135.537042,195.8706344,0,0,0
34.74496362,135.5397729,158.4938605,0,0,0
34.7449739,135.5425038,99.66925394,0,0,0
34.74498412,135.5452347,93.99852335,0,0,0
34.74499428,135.5479656,90.09816969,0,0,0
34.74500438,135.5506965,87.65606244,0,0,0
34.74501443,135.5534274,86.06773061,0,0,0
34.74502443,135.5561583,81.19423732,0,0,0
34.74503436,135.5588893,64.81689222,0,0,0
34.74250324,135.4879001,174.9086447,49.62216599,1220.663632,1455.536612
34.74251466,135.4906309,175.3121249,73.17459836,1524.983941,1290.422903
34.74252601,135.4933617,175.3121249,102.717277,1854.481665,1843.616738
34.74253731,135.4960925,180.9471575,249.8817325,4511.423055,0
34.74254854,135.4988234,179.4517264,377.2064313,0,0
34.74255972,135.5015542,202.6608164,0,0,0
34.74257084,135.504285,343.8814757,0,0,0
34.7425819,135.5070158,0,0,0,0
34.7425929,135.5097466,255.8848691,0,0,0
34.74260384,135.5124775,232.4091931,0,0,0
34.74261474,135.5152083,0,0,0,0
34.74262558,135.517939,0,0,0,0
34.74263636,135.5206698,222.2158074,0,0,0
34.74264708,135.5234006,213.7772324,0,0,0
34.74265773,135.5261314,232.765103,0,0,0
34.74266831,135.5288622,212.2843747,0,0,0
34.74267883,135.531593,134.0349314,0,0,0
34.74268929,135.5343239,153.8417128,0,0,0
34.74269969,135.5370547,148.8693558,0,0,0
34.74271003,135.5397855,122.5771067,0,0,0
34.74272031,135.5425163,94.99725766,0,0,0
34.74273052,135.5452471,92.90685346,0,0,0
34.74274068,135.5479779,89.83192214,0,0,0
34.74275078,135.5507088,87.65606244,0,0,0
