右上経度,右上緯度,左下経度,左下緯度,kW単価(φ800mm)_Dg1
34.7644,135.5547,34.7616,135.552,212.8790088
34.7622,135.5465,34.7594,135.5438,269.4957664
34.7622,135.5493,34.7594,135.5465,253.3260204
34.7622,135.552,34.7594,135.5492,166.2971688
34.7622,135.5547,34.7594,135.552,130.0219095
34.7599,135.5465,34.7571,135.5438,242.0312297
34.7599,135.5493,34.7571,135.5465,158.8250912
34.7599,135.552,34.7571,135.5492,115.2354907
34.7576,135.5411,34.7548,135.5383,341.5631736
34.7576,135.5438,34.7548,135.5411,189.9945153
34.7576,135.5465,34.7549,135.5438,146.5724323
34.7577,135.5493,34.7549,135.5465,113.5991123
34.7577,135.552,34.7549,135.5493,98.06168533
34.7554,135.5438,34.7526,135.5411,217.1365889
34.7554,135.5466,34.7526,135.5438,112.0911595
34.7554,135.5493,34.7526,135.5465,95.8358211
34.7554,135.552,34.7526,135.5493,90.1516087
34.7554,135.5548,34.7526,135.552,87.35380015
34.7554,135.5575,34.7526,135.5547,84.91374987
34.7531,135.5438,34.7503,135.5411,229.2543171
34.7531,135.5466,34.7503,135.5438,103.7512712
34.7532,135.5493,34.7504,135.5466,92.17441617
34.7532,135.552,34.7504,135.5493,88.16450827
34.7532,135.5548,34.7504,135.552,86.70599673
34.7532,135.5575,34.7504,135.5547,80.42095887
34.7532,135.5602,34.7504,135.5575,71.25907748
34.7532,135.563,34.7504,135.5602,63.91741475
34.7508,135.5357,34.7481,135.5329,235.652112
34.7509,135.5384,34.7481,135.5356,286.2440909
34.7509,135.5411,34.7481,135.5384,287.8704778
34.7509,135.5439,34.7481,135.5411,162.3884746
34.7509,135.5466,34.7481,135.5438,96.13890719
34.7509,135.5493,34.7481,135.5466,92.17441617
34.7509,135.552,34.7481,135.5493,88.16450827
34.7509,135.5548,34.7481,135.552,86.70599673
34.7509,135.5575,34.7481,135.5548,80.42095887
34.7509,135.5602,34.7481,135.5575,71.25907748
34.7485,135.5029,34.7457,135.5002,346.231463
34.7486,135.5357,34.7458,135.5329,235.652112
34.7486,135.5384,34.7458,135.5357,286.2440909
34.7486,135.5411,34.7458,135.5384,287.8704778
34.7486,135.5439,34.7458,135.5411,162.3884746
34.7486,135.5466,34.7458,135.5438,96.13890719
34.7486,135.5493,34.7459,135.5466,91.17913153
34.7487,135.5521,34.7459,135.5493,89.04253794
34.7487,135.5548,34.7459,135.552,86.06773061
34.7487,135.5575,34.7459,135.5548,78.34825374
34.7487,135.5603,34.7459,135.5575,59.79371057
34.7462,135.4893,34.7434,135.4865,187.8808557
34.7462,135.492,34.7434,135.4892,190.2323057
34.7462,135.4947,34.7434,135.492,281.9955701
34.7462,135.4975,34.7434,135.4947,233.8394035
34.7462,135.5002,34.7434,135.4974,192.6433616
34.7462,135.5029,34.7434,135.5002,215.9028583
34.7463,135.522,34.7435,135.5193,221.8914048
34.7463,135.5248,34.7435,135.522,232.0543699
34.7463,135.5275,34.7435,135.5247,273.865968
34.7463,135.5302,34.7435,135.5275,241.6464424
34.7463,135.533,34.7435,135.5302,203.2026902
34.7463,135.5357,34.7435,135.5329,201.5856927
34.7464,135.5384,34.7436,135.5357,195.8706344
34.7464,135.5411,34.7436,135.5384,158.4938605
34.7464,135.5439,34.7436,135.5411,99.66925394
34.7464,135.5466,34.7436,135.5439,93.99852335
34.7464,135.5493,34.7436,135.5466,90.09816969
34.7464,135.5521,34.7436,135.5493,87.65606244
34.7464,135.5548,34.7436,135.5521,86.06773061
34.7464,135.5575,34.7436,135.5548,81.19423732
34.7464,135.5603,34.7436,135.5575,64.81689222
34.7439,135.4893,34.7411,135.4865,174.9086447
34.7439,135.492,34.7411,135.4893,175.3121249
34.7439,135.4947,34.7411,135.492,175.3121249
34.7439,135.4975,34.7411,135.4947,180.9471575
34.7439,135.5002,34.7412,135.4974,179.4517264
34.744,135.5029,34.7412,135.5002,202.6608164
34.744,135.5057,34.7412,135.5029,343.8814757
34.744,135.5111,34.7412,135.5084,255.8848691
34.744,135.5139,34.7412,135.5111,232.4091931
34.744,135.522,34.7412,135.5193,222.2158074
