右上経度,右上緯度,左下経度,左下緯度,kW単価(φ800mm)_Dg4
34.7484,135.4947,34.7456,135.492,1955.834814
34.7486,135.5384,34.7458,135.5357,5830.543785
34.7462,135.4893,34.7434,135.4865,1398.278986
34.7462,135.492,34.7434,135.4892,1123.216881
34.7462,135.4947,34.7434,135.492,1393.449493
34.7439,135.4893,34.7411,135.4865,1455.536612
34.7439,135.492,34.7411,135.4893,1290.422903
34.7439,135.4947,34.7411,135.492,1843.616738
34.7416,135.4893,34.7389,135.4865,1582.905277
34.7417,135.492,34.7389,135.4893,1581.432744
34.7417,135.4948,34.7389,135.492,2055.619939
34.7394,135.4893,34.7366,135.4866,1605.688094
34.7394,135.492,34.7366,135.4893,1581.432744
34.7394,135.4948,34.7366,135.492,2055.619939
34.7371,135.4866,34.7343,135.4838,1552.484412
34.7371,135.4893,34.7343,135.4866,1605.688094
34.7372,135.492,34.7344,135.4893,1597.238445
34.7372,135.4948,34.7344,135.492,1645.995409
34.7372,135.4975,34.7344,135.4948,1950.062375
34.7349,135.4811,34.7321,135.4784,1445.721842
34.7349,135.4839,34.7321,135.4811,1484.699491
34.7349,135.4866,34.7321,135.4839,1532.651568
34.7349,135.4893,34.7321,135.4866,1555.799304
34.7349,135.4921,34.7321,135.4893,1560.37283
34.7349,135.4948,34.7321,135.492,1594.468519
34.7349,135.4975,34.7321,135.4948,1465.26076
34.7349,135.5003,34.7321,135.4975,1603.241295
34.7349,135.503,34.7321,135.5002,5404.956647
34.7325,135.4566,34.7297,135.4538,1450.771832
34.7325,135.4593,34.7297,135.4566,1447.590908
34.7326,135.4784,34.7298,135.4757,1450.260546
34.7326,135.4812,34.7298,135.4784,1451.644614
34.7326,135.4839,34.7298,135.4811,1499.739107
34.7326,135.4866,34.7298,135.4839,1524.300234
34.7326,135.4893,34.7298,135.4866,1538.611001
34.7326,135.4921,34.7298,135.4893,1534.95277
34.7327,135.4948,34.7299,135.4921,1540.471163
34.7327,135.4975,34.7299,135.4948,1395.558033
34.7327,135.5003,34.7299,135.4975,1313.25696
34.7327,135.503,34.7299,135.5002,2481.498193
34.7302,135.4539,34.7274,135.4511,1441.821835
34.7302,135.4566,34.7274,135.4538,1443.149578
34.7302,135.4593,34.7275,135.4566,1440.711939
34.7303,135.4621,34.7275,135.4593,1417.505241
34.7303,135.4648,34.7275,135.462,1410.306726
34.7303,135.4757,34.7275,135.473,1438.326522
34.7303,135.4784,34.7275,135.4757,1447.126476
34.7303,135.4812,34.7275,135.4784,1456.486204
34.7304,135.4839,34.7276,135.4811,1476.557327
34.7304,135.4866,34.7276,135.4839,1492.652249
34.7304,135.4894,34.7276,135.4866,1509.236503
34.7304,135.4921,34.7276,135.4893,1488.991465
34.7304,135.4948,34.7276,135.4921,1483.646515
34.7304,135.4975,34.7276,135.4948,1281.321903
34.7304,135.5003,34.7276,135.4975,1162.78122
34.7304,135.503,34.7276,135.5003,2056.88628
34.728,135.4511,34.7252,135.4484,1489.789138
34.728,135.4539,34.7252,135.4511,1452.826904
34.728,135.4566,34.7252,135.4539,1449.107779
34.728,135.4593,34.7252,135.4566,1441.12545
34.728,135.4621,34.7252,135.4593,1424.624187
34.728,135.4648,34.7252,135.4621,1420.367497
34.728,135.4675,34.7252,135.4648,1416.004687
34.728,135.4703,34.7252,135.4675,1413.87787
34.7281,135.473,34.7253,135.4702,1422.991329
34.7281,135.4757,34.7253,135.473,1428.534364
34.7281,135.4785,34.7253,135.4757,1437.443167
34.7281,135.4812,34.7253,135.4784,1444.176158
34.7281,135.4839,34.7253,135.4812,1451.284265
