原点(緯度),原点(経度),kW単価(φ300mm)_Dg1,kW単価(φ300mm)_Dg2,kW単価(φ300mm)_Dg3,kW単価(φ300mm)_Dg4
34.7403061,135.5015677,249.0670184,646.1478997,0,0
34.74031723,135.5042985,249.0670184,0,0,0
34.74032829,135.5070292,247.7221641,0,0,0
34.74033929,135.50976,272.4355392,0,0,0
34.74035024,135.5124907,310.8275393,0,0,0
34.74036114,135.5152214,389.4579355,0,0,0
34.74037198,135.5179522,364.1122603,0,0,0
34.74038276,135.5206829,328.1698483,0,0,0
34.74039348,135.5234136,268.9223024,0,0,0
34.74040413,135.5261443,288.5417912,0,0,0
34.74041472,135.5288751,252.3550319,0,0,0
34.74042524,135.5316058,177.547,0,0,0
34.74043569,135.5343365,160.8630603,0,0,0
34.74044609,135.5370673,156.687653,0,0,0
34.74045643,135.539798,150.6176783,0,0,0
34.7404667,135.5425288,142.3902694,0,0,0
34.74047692,135.5452595,142.1256035,0,0,0
34.74048707,135.5479903,135.3337605,0,0,0
34.74049717,135.550721,133.1344887,0,0,0
34.74050722,135.5534518,132.5957942,0,0,0
34.7405172,135.5561826,131.2303913,0,0,0
34.74052713,135.5589133,124.3984403,0,0,0
34.737996,135.487928,254.0318095,38.35903357,1839.136478,2423.293337
34.73800742,135.4906586,246.6566925,78.61252892,2195.409034,2386.68733
34.73801878,135.4933893,246.6566925,88.80008776,2372.351167,3102.327357
34.73803007,135.49612,239.1978352,136.424449,3198.79875,0
34.73804131,135.4988506,235.7561398,363.3424794,6817.591919,0
34.73805249,135.5015813,235.7561398,646.1478997,0,0
34.73806362,135.504312,235.0314795,0,0,0
34.73807469,135.5070426,226.8948803,0,0,0
34.7380857,135.5097733,287.8177214,0,0,0
34.73809665,135.512504,318.5982278,0,0,0
34.73810755,135.5152346,311.6721793,0,0,0
34.73811839,135.5179653,243.514569,0,0,0
34.73812917,135.5206959,178.7924583,0,0,0
34.73813989,135.5234266,208.9168707,0,0,0
34.73815055,135.5261573,235.9986872,0,0,0
34.73816112,135.5288879,211.2253444,0,0,0
34.73817164,135.5316186,159.6316799,0,0,0
34.7381821,135.5343492,152.8252658,0,0,0
34.73819249,135.5370799,147.2340976,0,0,0
34.73820283,135.5398106,142.1256035,0,0,0
34.7382131,135.5425413,139.2779138,0,0,0
34.73822331,135.5452719,136.6234211,0,0,0
34.73823346,135.5480026,135.7341562,0,0,0
34.73824355,135.5507333,135.7341562,0,0,0
34.73825359,135.553464,137.8550024,0,0,0
34.73826357,135.5561947,142.301938,0,0,0
34.73827349,135.5589254,145.092172,0,0,0
34.73828334,135.5616561,141.424614,0,0,0
34.73573091,135.4852113,249.6090577,36.59474522,1833.241742,2342.998708
34.73574238,135.4879419,250.1534613,38.35903357,1897.703868,2423.293337
34.7357538,135.4906725,233.5954419,41.08603619,1994.831802,2410.541185
34.73576516,135.4934031,228.4768167,77.14940827,2107.2617,2484.124857
34.73577646,135.4961337,220.7802926,101.0399108,2635.718114,2943.020613
34.7357877,135.4988642,217.6382581,203.623485,4480.857475,0
34.73579888,135.5015948,217.6382581,0,0,0
34.73581002,135.5043254,217.0205525,0,0,0
34.73582109,135.507056,210.0647656,0,0,0
34.7358321,135.5097866,231.2406492,0,0,0
34.73584306,135.5125172,202.2845891,0,0,0
34.73585396,135.5152478,185.2913764,0,0,0
34.7358648,135.5179784,169.0425379,0,0,0
34.73587559,135.520709,163.5001596,0,0,0
34.73588631,135.5234396,173.2558338,0,0,0
34.73589696,135.5261702,169.793282,0,0,0
34.73590753,135.5289007,178.5141821,0,0,0
34.73591805,135.5316313,148.0895571,0,0,0
34.7359285,135.5343619,142.9225695,0,0,0
34.7359389,135.5370925,139.2779138,0,0,0
34.73594922,135.5398231,139.2779138,0,0,0
34.73595949,135.5425538,136.949686,0,0,0
34.7359697,135.5452844,135.7341562,0,0,0
34.73597984,135.548015,137.1134035,0,0,0
34.73598993,135.5507456,141.6866732,0,0,0
34.73599996,135.5534762,148.0895571,0,0,0
34.73600993,135.5562068,166.9510364,0,0,0
34.73601984,135.5589375,184.1017046,0,0,0
34.73602969,135.5616681,195.0601394,0,0,0
34.73345417,135.4797643,237.4645176,35.00904865,1779.068988,2181.873378
34.73346576,135.4824948,223.3600039,35.30691004,1747.706465,2240.698175
34.73347729,135.4852253,232.8839837,37.25533921,1856.011215,2313.067117
34.73348876,135.4879558,228.9328583,38.93782552,1911.333525,2348.00152
34.73350018,135.4906863,221.2060983,42.78193199,2036.866706,2354.903854
34.73351154,135.4934168,213.9838843,44.36334004,2080.843747,2406.360831
34.73352284,135.4961473,203.1804464,101.7514915,2635.842703,2211.361377
34.73353408,135.4988779,200.5163671,186.6533964,4268.876603,2419.600645
34.73354527,135.5016084,203.5410151,606.0049,0,8157.12309
34.73355641,135.5043389,197.4102616,0,0,0
34.73356749,135.5070694,191.7982642,0,0,0
34.73357851,135.5097999,178.5141821,0,0,0
34.73358947,135.5125305,159.5206704,0,0,0
34.73360037,135.515261,153.0291688,0,0,0
34.73361122,135.5179915,149.7328486,0,0,0
34.733622,135.520722,145.8300852,0,0,0
34.73363272,135.5234525,144.6347566,0,0,0
34.73364337,135.5261831,146.9511364,0,0,0
34.73365394,135.5289136,143.7285238,0,0,0
34.73366445,135.5316441,140.1287257,0,0,0
34.73367491,135.5343746,139.2779138,0,0,0
34.73368529,135.5371052,137.8550024,0,0,0
34.73369562,135.5398357,135.7341562,0,0,0
34.73370588,135.5425662,132.9801298,0,0,0
34.73371608,135.5452968,139.0246812,0,0,0
34.73372622,135.5480273,147.898597,0,0,0
34.73373631,135.5507579,158.8578421,0,0,0
34.73374633,135.5534884,177.6845267,620.8397812,0,0
34.73375629,135.556219,226.6706759,621.6006143,0,0
34.7337662,135.5589495,265.1915884,595.3357996,0,0
34.73377604,135.5616801,321.7261206,656.1786562,0,0
34.73109358,135.4552046,132.2899216,30.89814529,1665.632955,2189.494788
34.73110569,135.457935,132.2899216,31.15742262,1671.007113,2184.69416
34.7311889,135.477048,232.8839837,33.52084438,1725.914383,2188.723159
34.73120055,135.4797785,247.7221641,34.76214409,1732.231602,2190.811984
34.73121214,135.4825089,211.2253444,36.34487929,1822.003455,2263.395859
34.73122367,135.4852393,210.6434564,37.8407387,1872.405234,2300.463343
34.73123514,135.4879697,207.9698314,39.69313415,1939.837094,2322.061053
34.73124656,135.4907002,202.1063647,42.41214157,2027.3768,2316.540075
34.73125792,135.4934306,196.0604479,43.42136576,2060.245368,2324.868396
34.73126922,135.496161,190.365746,96.45257036,2508.506625,2106.166506
34.73128046,135.4988915,185.4411673,178.1254284,4129.451936,1981.958297
34.73129165,135.5016219,180.3386195,665.6510515,0,3745.059864
