原点(経度),原点(緯度),メッシュあたり賦存量MJ/y
135.395037,34.74433264,3413277.246
135.3977678,34.74434614,3273873.596
135.4004986,34.74435958,2975000.62
135.4032293,34.74437294,2644444.995
135.4059601,34.74438624,2382535.107
135.4086909,34.74439948,2148083.514
135.4114217,34.74441266,1954819.363
135.4141525,34.74442577,1832313.126
135.4168833,34.74443882,1832313.126
135.4196141,34.74445182,1831257.037
135.4223449,34.74446475,1831257.037
135.4250757,34.74447762,1786901.331
135.4278066,34.74449044,1786901.331
135.4305374,34.74450321,1815415.714
135.4332683,34.74451591,1823864.42
135.4359992,34.74452855,1821752.243
135.4387301,34.74454113,1793237.86
135.441461,34.74455365,1830200.949
135.4441919,34.7445661,1831257.037
135.4469228,34.7445785,1831257.037
135.4496537,34.74459082,1813303.537
135.4523846,34.74460308,1793237.86
135.4551155,34.74461527,1770003.918
135.4578464,34.7446274,1665451.181
135.4605773,34.74463947,1491196.619
135.4633082,34.74465148,1340175.998
135.4660391,34.74466343,1197604.083
135.46877,34.74467532,1228230.643
135.4715009,34.74468714,1207108.878
135.4742318,34.74469891,1170145.789
135.4769626,34.74471062,1118397.464
135.4796935,34.74472227,1081434.375
135.4824244,34.74473386,1013844.727
135.4851553,34.74474539,932525.9308
135.4878862,34.74475686,13051102.02
135.4906171,34.74476827,9740053.625
135.493348,34.74477963,4153657.443
135.4960788,34.74479092,1403225.315
135.4988097,34.74480216,1084138.586
135.5015406,34.74481333,741453.1695
135.5042715,34.74482445,340604.7413
135.5070024,34.74483551,-21923.62958
135.5097333,34.74484651,25107.02286
135.5124642,34.74485745,59412.15707
135.515195,34.74486835,-88345.9188
135.5179259,34.74487918,290815.033
135.5206568,34.74488996,680359.9635
135.5233877,34.74490067,610175.0201
135.5261185,34.74491132,438650.8355
135.5288494,34.74492191,435854.8557
135.5315803,34.74493243,534916.7038
135.5343112,34.74494289,539836.5473
135.537042,34.74495329,659356.2904
135.5397729,34.74496362,685552.9457
135.5425038,34.7449739,1409030.727
135.5452347,34.74498412,1555042.09
135.5479656,34.74499428,1676402.826
135.5506965,34.74500438,1765649.817
135.5534274,34.74501443,1782072.387
135.5561583,34.74502443,1889151.407
135.5588893,34.74503436,2433466.47
135.5616202,34.74504423,2679905.832
135.5643511,34.74505401,2749263.613
135.5670821,34.74506372,2693025.055
135.569813,34.74507337,2619098.877
135.572544,34.74508296,2820811.734
135.5752749,34.74509248,3161928.241
135.5780059,34.74510194,3346743.686
135.5807369,34.74511133,2243131.458
135.5834678,34.74512067,1799574.39
135.5861988,34.74512994,1305325.085
135.5889297,34.74513914,645269.9249
135.5916606,34.74514828,266134.2407
135.5943916,34.74515736,560782.8644
135.5971225,34.74516638,757215.2802
135.5998534,34.74517534,816356.2225
135.3923227,34.74206549,3172489.124
135.3950535,34.74207906,3413277.246
135.3977842,34.74209256,3273873.596
135.4005149,34.742106,2975000.62
135.4032456,34.74211937,2644444.995
135.4059764,34.74213267,2382535.107
135.4087071,34.74214591,2148083.514
135.4114378,34.74215909,1954819.363
135.4141685,34.7421722,1832313.126
135.4168992,34.74218525,1832313.126
135.41963,34.74219825,1831257.037
135.4223607,34.74221118,1831257.037
135.4250915,34.74222405,1786901.331
135.4278222,34.74223687,1786901.331
135.430553,34.74224963,1822808.331
135.4332838,34.74226232,1831257.037
135.4360146,34.74227496,1831257.037
135.4387454,34.74228753,1831257.037
135.4414763,34.74230005,1831257.037
135.4442071,34.7423125,1831257.037
135.4469379,34.74232488,1831257.037
135.4496687,34.74233721,1831257.037
135.4523996,34.74234946,1821752.243
135.4551304,34.74236165,1821752.243
135.4578612,34.74237378,1773172.183
135.460592,34.74238585,1569347.15
135.4633228,34.74239785,1262025.467
135.4660536,34.7424098,1015956.903
135.4687844,34.74242169,1199716.26
135.4715153,34.74243352,1235623.26
135.4742461,34.74244529,1215557.584
135.4769769,34.742457,1159584.906
135.4797077,34.74246865,1053976.08
135.4824385,34.74248024,14635081.63
135.4851693,34.74249177,14415893.65
135.4879001,34.74250324,13899127.22
135.4906309,34.74251466,10928900.1
135.4933617,34.74252601,6611852.205
135.4960925,34.74253731,2785518.431
135.4988234,34.74254854,1522038.54
135.5015542,34.74255972,957408.8636
135.504285,34.74257084,365022.5955
135.5070158,34.7425819,251299.9565
135.5097466,34.7425929,576124.0789
135.5124775,34.74260384,708362.1125
135.5152083,34.74261474,245753.635
135.517939,34.74262558,417437.7325
135.5206698,34.74263636,778731.1873
135.5234006,34.74264708,801454.819
135.5261314,34.74265773,700590.857
135.5288622,34.74266831,732195.778
135.531593,34.74267883,1165200.677
135.5343239,34.74268929,990498.0274
135.5370547,34.74269969,1009209.241
135.5397855,34.74271003,1082849.605
135.5425163,34.74272031,1504993.323
135.5452471,34.74273052,1594512.984
135.5479779,34.74274068,1711745.571
135.5507088,34.74275078,1842222.263
135.5534396,34.74276083,1883417.981
135.5561705,34.74277082,2001206.547
135.5589013,34.74278075,2174123.637
135.5616321,34.74279062,2324002.166
135.564363,34.7428004,2529472.811
135.5670939,34.7428101,2762321.051
135.5698248,34.74281974,2888401.382
135.5725557,34.74282933,2470190.433
135.5752865,34.74283884,2559957.935
135.5780174,34.7428483,2473358.698
135.5807483,34.74285769,1676012.064
135.5834792,34.74286702,1017012.991
135.5862101,34.74287629,501641.922
135.5889409,34.74288549,179535.0037
135.5916718,34.74289462,110889.267
135.5944026,34.74290369,362238.2721
135.5971335,34.74291271,510090.6281
135.5998644,34.74292167,570287.6587
135.3923393,34.7398119,3420669.864
135.39507,34.73982547,3547400.455
135.3978007,34.73983898,3431230.746
135.4005313,34.73985242,3212620.477
135.403262,34.73986579,2934869.266
135.4059926,34.73987909,2646557.172
135.4087232,34.73989233,2341347.665
135.4114539,34.73990551,2049867.307
135.4141845,34.73991863,1892510.156
135.4169152,34.73993168,1847098.361
135.4196459,34.73994467,1841817.92
135.4223765,34.7399576,1831257.037
135.4251072,34.73997047,1831257.037
135.4278379,34.73998329,1831257.037
135.4305686,34.73999604,1831257.037
135.4332993,34.74000874,1831257.037
135.43603,34.74002137,1831257.037
135.4387608,34.74003394,1831257.037
135.4414915,34.74004645,1831257.037
135.4442223,34.74005889,1831257.037
135.446953,34.74007128,1831257.037
135.4496837,34.7400836,1831257.037
135.4524145,34.74009585,1821752.243
135.4551452,34.74010803,1794293.948
135.457876,34.74012016,1784789.154
135.4606067,34.74013222,1663339.005
135.4633374,34.74014423,1428887.411
135.4660682,34.74015618,1169089.7
135.4687989,34.74016807,1263081.555
135.4715296,34.7401799,1247240.231
135.4742604,34.74019167,1235623.26
135.4769911,34.74020338,16124925.79
135.4797218,34.74021503,15875215.86
135.4824526,34.74022662,15768334.92
135.4851833,34.74023815,15642025.23
135.4879141,34.74024962,14807698.81
135.4906448,34.74026104,12865834.97
135.4933755,34.7402724,10385842.43
135.4961063,34.74028369,4847299.34
135.498837,34.74029492,1873459.171
135.5015677,34.7403061,1393837.677
135.5042985,34.74031723,1084774.647
135.5070292,34.74032829,1053401.624
135.50976,34.74033929,1156645.536
135.5124907,34.74035024,1044779.394
135.5152214,34.74036114,771238.9549
135.5179522,34.74037198,812505.6102
135.5206829,34.74038276,943467.3442
135.5234136,34.74039348,1137892.064
135.5261443,34.74040413,1024646.191
135.5288751,34.74041472,1091506.805
135.5316058,34.74042524,1498021.57
135.5343365,34.74043569,1613232.881
135.5370673,34.74044609,1583691.088
135.539798,34.74045643,1540474.093
135.5425288,34.7404667,1585667.163
135.5452595,34.74047692,1616064.36
135.5479903,34.74048707,1754832.818
135.550721,34.74049717,1885555.425
135.5534518,34.74050722,1859127.951
135.5561826,34.7405172,1885036.839
135.5589133,34.74052713,1982971.662
135.5616441,34.74053699,2054699.66
135.5643749,34.74054677,2354162.16
135.5671057,34.74055647,2879546.847
135.5698365,34.74056611,3384762.863
135.5725673,34.74057568,1858715.332
135.5752981,34.7405852,1559842.355
135.5780289,34.74059465,1333839.468
135.5807597,34.74060404,955759.8724
135.5834905,34.74061337,525931.9519
135.5862214,34.74062264,268246.4172
135.5889521,34.74063184,105608.8257
135.5916829,34.74064097,71814.00146
135.5944137,34.74065004,208049.3866
135.5971445,34.74065905,312602.124
135.5998753,34.74066801,349565.213
135.3923559,34.73755831,3550568.719
135.3950865,34.73757188,3571690.485
135.3978171,34.73758539,3546344.366
135.4005477,34.73759884,3438623.364
135.4032783,34.7376122,3253807.919
135.4060088,34.73762551,2946486.237
135.4087394,34.73763875,2552565.317
135.41147,34.73765193,2242075.369
135.4142006,34.73766505,2037194.247
135.4169312,34.7376781,1908351.48
135.4196617,34.7376911,1862939.685
135.4223923,34.73770403,1876668.832
135.4251229,34.7377169,1831257.037
135.4278536,34.73772971,1831257.037
135.4305842,34.73774246,1831257.037
135.4333148,34.73775515,1831257.037
135.4360455,34.73776778,1831257.037
135.4387761,34.73778034,1831257.037
135.4415068,34.73779285,1831257.037
135.4442374,34.73780529,1831257.037
135.4469681,34.73781767,1831257.037
135.4496987,34.73782998,1831257.037
135.4524294,34.73784223,1831257.037
135.4551601,34.73785442,1794293.948
135.4578907,34.73786654,1813303.537
135.4606214,34.7378786,1755218.683
135.4633521,34.73789061,1628488.092
135.4660827,34.73790256,1411989.999
135.4688134,34.73791445,17561983.91
135.471544,34.73792628,17390794.46
135.4742747,34.73793805,17206917.03
135.4770053,34.73794976,17069605.82
135.479736,34.73796141,17000314.33
135.4824667,34.737973,16909953.54
135.4851973,34.73798453,16328301.72
135.487928,34.737996,15575451.38
135.4906586,34.73800742,12918639.39
135.4933893,34.73801878,10406964.19
135.49612,34.73803007,4899047.664
135.4988506,34.73804131,1928375.76
135.5015813,34.73805249,1448754.266
135.504312,34.73806362,1142859.501
135.5070426,34.73807469,1143169.126
135.5097733,34.7380857,1109121.564
135.512504,34.73809665,991949.7134
135.5152346,34.73810755,926483.9287
135.5179653,34.73811839,1142005.146
135.5206959,34.73812917,1560222.886
135.5234266,34.73813989,1396633.687
135.5261573,34.73815055,1211573.812
135.5288879,34.73816112,1278434.426
135.5316186,34.73817164,1651154.368
135.5343492,34.7381821,1692439.5
135.5370799,34.73819249,1682963.384
135.5398106,34.73820283,1636578.124
135.5425413,34.7382131,1623686.34
135.5452719,34.73822331,1684710.096
135.5480026,34.73823346,1749552.376
135.5507333,34.73824355,1850704.513
135.553464,34.73825359,1847209.632
135.5561947,34.73826357,1817180.873
135.5589254,34.73827349,1746864.257
135.5616561,34.73828334,1766200.462
135.5643868,34.73829311,1925574.022
135.5671175,34.73830282,2231239.892
135.5698483,34.73831245,2704996.872
135.572579,34.73832203,1113117.023
135.5753097,34.73833155,851207.135
135.5780405,34.738341,658999.0723
135.5807712,34.73835039,498473.6572
135.5835019,34.73835972,297816.8884
135.5862326,34.73836899,146796.2677
135.5889634,34.73837819,54916.58936
135.5916941,34.73838732,48580.05981
135.5944248,34.73839639,117225.7965
135.5971555,34.73840541,142571.9147
135.5998862,34.73841436,170030.2094
135.3923725,34.73530471,3536839.572
135.395103,34.73531829,3646672.751
135.3978335,34.73533181,3616046.191
135.4005641,34.73534525,3561129.602
135.4032946,34.73535862,3440735.541
135.4060251,34.73537193,3179881.741
135.4087556,34.73538517,2823979.999
135.4114861,34.73539836,2481807.404
135.4142166,34.73541147,2237851.016
135.4169471,34.73542453,1998118.982
135.4196776,34.73543752,1929473.245
135.4224082,34.73545045,1880893.185
135.4251387,34.73546332,1831257.037
135.4278692,34.73547613,1831257.037
135.4305998,34.73548887,1831257.037
135.4333303,34.73550156,1831257.037
135.4360609,34.73551419,1831257.037
135.4387914,34.73552675,1831257.037
135.441522,34.73553925,1831257.037
135.4442526,34.73555168,1831257.037
135.4469832,34.73556406,1831257.037
135.4497137,34.73557637,1831257.037
135.4524443,34.73558862,1831257.037
135.4551749,34.7356008,1794293.948
135.4579055,34.73561292,1813303.537
135.4606361,34.73562498,1793237.86
135.4633667,34.73563698,1679180.328
135.4660972,34.73564893,1457401.794
135.4688278,34.73566083,17397234.14
135.4715584,34.73567266,17284129.55
135.474289,34.73568443,17152000.44
135.4770196,34.73569614,17014689.23
135.4797502,34.73570779,16946453.83
135.4824807,34.73571938,16902560.92
135.4852113,34.73573091,16291338.63
135.4879419,34.73574238,15590236.61
135.4906725,34.7357538,15004531.26
135.4934031,34.73576516,13989642.53
135.4961337,34.73577646,9847998.335
135.4988642,34.7357877,4027386.645
135.5015948,34.73579888,1645520.404
135.5043254,34.73581002,1128975.337
135.507056,34.73582109,1121461.248
135.5097866,34.7358321,1128894.2
135.5125172,34.73584306,1260377.931
135.5152478,34.73585396,1371935.935
135.5179784,34.7358648,1494961.197
135.520709,34.73587559,1517544.879
135.5234396,34.73588631,1443354.308
135.5261702,34.73589696,1534334.4
135.5289007,34.73590753,1443810.672
135.5316313,34.73591805,1652328.548
135.5343619,34.7359285,1713810.592
135.5370925,34.7359389,1750342.584
135.5398231,34.73594922,1726379.17
135.5425538,34.73595949,1772705.618
135.5452844,34.7359697,1810785.531
135.548015,34.73597984,1876119.644
135.5507456,34.73598993,1841945.744
135.5534762,34.73599996,1902991.795
135.5562068,34.73600993,1744789.004
135.5589375,34.73601984,1513323.906
135.5616681,34.73602969,1394304.272
135.5643987,34.73603946,1304363.277
135.5671294,34.73604916,1260570.34
135.56986,34.7360588,1280291.972
135.5725907,34.73606838,562895.0409
135.5753213,34.7360779,364350.4486
135.578052,34.73608735,283031.6528
135.5807826,34.73609674,201712.8571
135.5835133,34.73610607,148908.4442
135.5862439,34.73611534,80262.70752
135.5889746,34.73612454,43299.61853
135.5917052,34.73613367,25346.11816
135.5944359,34.73614275,62309.20715
135.5971665,34.73615176,61253.1189
135.5998971,34.73616072,77094.44275
135.3923891,34.73305111,3548456.543
135.3951195,34.73306469,3701589.34
135.39785,34.73307822,3686804.105
135.4005804,34.73309166,3638224.045
135.4033109,34.73310504,3527334.778
135.4060413,34.73311834,3337238.892
135.4087717,34.73313159,3004571.091
135.4115022,34.73314478,2672959.378
135.4142326,34.73315789,2444844.315
135.4169631,34.73317095,2150195.691
135.4196935,34.73318394,2006567.688
135.422424,34.73319687,1916800.186
135.4251544,34.73320974,1831257.037
135.4278849,34.73322254,1831257.037
135.4306153,34.73323529,1831257.037
135.4333458,34.73324797,1831257.037
135.4360763,34.73326059,1831257.037
135.4388068,34.73327315,1831257.037
135.4415373,34.73328565,1831257.037
135.4442677,34.73329808,1831257.037
135.4469982,34.73331045,1831257.037
135.4497287,34.73332276,1831257.037
135.4524592,34.73333501,1831257.037
135.4551898,34.73334718,1824920.508
135.4579203,34.7333593,1809079.184
135.4606508,34.73337136,1778452.625
135.4633813,34.73338336,19247618.03
135.4661118,34.73339531,19000869.74
135.4688423,34.73340721,18458046.31
135.4715728,34.73341904,18261382.94
135.4743033,34.73343081,18201256.84
135.4770338,34.73344252,18104559.52
135.4797643,34.73345417,18003585.39
135.4824948,34.73346576,17997608.39
135.4852253,34.73347729,16956927.88
135.4879558,34.73348876,16472934.89
135.4906863,34.73350018,15897164.39
135.4934168,34.73351154,15431403.13
135.4961473,34.73352284,12247092.41
135.4988779,34.73353408,7005882.704
135.5016084,34.73354527,2666345.626
135.5043389,34.73355641,1287299.162
135.5070694,34.73356749,1266839.343
135.5097999,34.73357851,1442886.256
135.5125305,34.73358947,1539476.817
135.515261,34.73360037,1643509.043
135.5179915,34.73361122,1619652.034
135.520722,34.733622,1543010.576
135.5234525,34.73363272,1603249.865
135.5261831,34.73364337,1629764.829
135.5289136,34.73365394,1681450.931
135.5316441,34.73366445,1726783.513
135.5343746,34.73367491,1739685.498
135.5371052,34.73368529,1789734.265
135.5398357,34.73369562,1852121.199
135.5425662,34.73370588,1974713.003
135.5452968,34.73371608,1928402.059
135.5480273,34.73372622,1922168.087
135.5507579,34.73373631,1889805.015
135.5534884,34.73374633,1801654.447
135.556219,34.73375629,1505897.276
135.5589495,34.7337662,1370549.789
135.5616801,34.73377604,1167272.02
135.5644106,34.73378581,951533.5646
135.5671412,34.73379551,735357.2218
135.5698718,34.73380515,632785.426
135.5726024,34.73381473,1806928.822
135.5753329,34.73382425,156301.062
135.5780635,34.7338337,58084.85413
135.5807941,34.73384309,58084.85413
135.5835247,34.73385242,22177.85339
135.5862552,34.73386169,6336.529541
135.5889858,34.73387089,0
135.5917164,34.73388003,6336.529541
135.5944469,34.7338891,6336.529541
135.5971775,34.73389811,6336.529541
135.599908,34.73390707,28514.38293
135.3924057,34.73079751,3720598.929
135.3951361,34.7308111,3731159.811
135.3978664,34.73082462,3664626.251
135.4005968,34.73083808,3649841.016
135.4033272,34.73085145,3576970.926
135.4060575,34.73086476,3438623.364
135.4087879,34.730878,3171433.035
135.4115183,34.73089119,2874672.235
135.4142486,34.73090431,2613818.436
135.416979,34.73091736,2318113.724
135.4197094,34.73093035,2091054.749
135.4224398,34.73094328,1937921.951
135.4251701,34.73095615,1831257.037
135.4279005,34.73096896,1831257.037
135.4306309,34.7309817,1831257.037
135.4333613,34.73099438,1831257.037
135.4360917,34.731007,1831257.037
135.4388221,34.73101955,1831257.037
135.4415525,34.73103204,1831257.037
135.4442829,34.73104448,1831257.037
135.4470133,34.73105685,1831257.037
135.4497437,34.73106916,1831257.037
135.4524742,34.7310814,1831257.037
135.4552046,34.73109358,20807149.19
135.457935,34.73110569,20635703.89
135.4606655,34.73111775,20556284.1
135.4633959,34.73112975,20288968.03
135.4661263,34.7311417,19960603.88
135.4688567,34.73115359,19711633.21
135.4715872,34.73116542,19562079.02
