右上経度,右上緯度,左下経度,左下緯度,メッシュあたり賦存量MJ/y
135.5275,34.7483,135.5247,34.746,305611.925
135.5302,34.7483,135.5275,34.746,501852.37
135.533,34.7483,135.5302,34.7461,812713.116
135.5357,34.7483,135.5329,34.7461,577375.5484
135.5384,34.7483,135.5356,34.7461,85760.88617
135.5411,34.7483,135.5384,34.7461,200316.6032
135.5439,34.7484,135.5411,34.7461,651714.3766
135.5466,34.7484,135.5438,34.7461,1509815.476
135.5493,34.7484,135.5466,34.7461,1609879.466
135.5521,34.7484,135.5493,34.7461,1687667.913
135.5548,34.7484,135.552,34.7461,1757184.558
135.5575,34.7484,135.5548,34.7462,1938910.951
135.5603,34.7484,135.5575,34.7462,2566051.958
135.563,34.7484,135.5602,34.7462,2916594.046
135.5657,34.7484,135.563,34.7462,3046814.621
135.5685,34.7484,135.5657,34.7462,2744773.38
135.5712,34.7485,135.5684,34.7462,2708866.379
135.5739,34.7485,135.5711,34.7462,2861999.176
135.5766,34.7485,135.5739,34.7462,2923252.295
135.5794,34.7485,135.5766,34.7462,2987673.679
135.5821,34.7485,135.5793,34.7462,2457517.374
135.5848,34.7485,135.5821,34.7462,2603257.553
135.5876,34.7485,135.5848,34.7463,2638108.466
135.5903,34.7485,135.5875,34.7463,1929473.245
135.593,34.7485,135.5903,34.7463,1104668.317
135.5958,34.7485,135.593,34.7463,1029686.05
135.5985,34.7485,135.5957,34.7463,1089883.081
135.6012,34.7486,135.5985,34.7463,1091995.258
135.3937,34.7454,135.3909,34.7432,3172489.124
135.3964,34.7455,135.3937,34.7432,3413277.246
135.3992,34.7455,135.3964,34.7432,3273873.596
135.4019,34.7455,135.3991,34.7432,2975000.62
135.4046,34.7455,135.4018,34.7432,2644444.995
135.4073,34.7455,135.4046,34.7433,2382535.107
135.4101,34.7455,135.4073,34.7433,2148083.514
135.4128,34.7455,135.41,34.7433,1954819.363
135.4155,34.7456,135.4128,34.7433,1832313.126
135.4183,34.7456,135.4155,34.7433,1832313.126
135.421,34.7456,135.4182,34.7433,1831257.037
135.4237,34.7456,135.421,34.7433,1831257.037
135.4265,34.7456,135.4237,34.7434,1786901.331
135.4292,34.7456,135.4264,34.7434,1786901.331
135.4319,34.7456,135.4292,34.7434,1815415.714
135.4347,34.7456,135.4319,34.7434,1823864.42
135.4374,34.7457,135.4346,34.7434,1821752.243
135.4401,34.7457,135.4373,34.7434,1793237.86
135.4428,34.7457,135.4401,34.7434,1830200.949
135.4456,34.7457,135.4428,34.7434,1831257.037
135.4483,34.7457,135.4455,34.7435,1831257.037
135.451,34.7457,135.4483,34.7435,1813303.537
135.4538,34.7457,135.451,34.7435,1793237.86
135.4565,34.7457,135.4537,34.7435,1770003.918
135.4592,34.7458,135.4565,34.7435,1665451.181
135.462,34.7458,135.4592,34.7435,1491196.619
135.4647,34.7458,135.4619,34.7435,1340175.998
135.4674,34.7458,135.4647,34.7435,1197604.083
135.4702,34.7458,135.4674,34.7435,1228230.643
135.4729,34.7458,135.4701,34.7436,1207108.878
135.4756,34.7458,135.4728,34.7436,1170145.789
135.4783,34.7458,135.4756,34.7436,1118397.464
135.4811,34.7458,135.4783,34.7436,1081434.375
135.4838,34.7459,135.481,34.7436,1013844.727
135.4865,34.7459,135.4838,34.7436,932525.9308
135.4893,34.7459,135.4865,34.7436,13051102.02
135.492,34.7459,135.4892,34.7436,9740053.625
135.4947,34.7459,135.492,34.7437,4153657.443
135.4975,34.7459,135.4947,34.7437,1403225.315
135.5002,34.7459,135.4974,34.7437,1084138.586
135.5029,34.7459,135.5002,34.7437,741453.1695
135.5057,34.746,135.5029,34.7437,340604.7413
135.5084,34.746,135.5056,34.7437,-21923.62958
135.5111,34.746,135.5083,34.7437,25107.02286
135.5139,34.746,135.5111,34.7437,59412.15707
135.5166,34.746,135.5138,34.7437,-88345.9188
135.5193,34.746,135.5165,34.7438,290815.033
135.522,34.746,135.5193,34.7438,680359.9635
135.5248,34.746,135.522,34.7438,610175.0201
135.5275,34.746,135.5247,34.7438,438650.8355
135.5302,34.746,135.5275,34.7438,435854.8557
135.533,34.7461,135.5302,34.7438,534916.7038
135.5357,34.7461,135.5329,34.7438,539836.5473
135.5384,34.7461,135.5357,34.7438,659356.2904
135.5412,34.7461,135.5384,34.7438,685552.9457
135.5439,34.7461,135.5411,34.7438,1409030.727
135.5466,34.7461,135.5438,34.7439,1555042.09
135.5494,34.7461,135.5466,34.7439,1676402.826
135.5521,34.7461,135.5493,34.7439,1765649.817
135.5548,34.7461,135.552,34.7439,1782072.387
135.5575,34.7462,135.5548,34.7439,1889151.407
135.5603,34.7462,135.5575,34.7439,2433466.47
135.563,34.7462,135.5602,34.7439,2679905.832
135.5657,34.7462,135.563,34.7439,2749263.613
135.5685,34.7462,135.5657,34.7439,2693025.055
135.5712,34.7462,135.5684,34.7439,2619098.877
135.5739,34.7462,135.5712,34.744,2820811.734
135.5767,34.7462,135.5739,34.744,3161928.241
135.5794,34.7462,135.5766,34.744,3346743.686
135.5821,34.7462,135.5794,34.744,2243131.458
135.5849,34.7462,135.5821,34.744,1799574.39
135.5876,34.7463,135.5848,34.744,1305325.085
135.5903,34.7463,135.5875,34.744,645269.9249
135.593,34.7463,135.5903,34.744,266134.2407
135.5958,34.7463,135.593,34.744,560782.8644
135.5985,34.7463,135.5957,34.744,757215.2802
135.6012,34.7463,135.5985,34.744,816356.2225
135.3937,34.7432,135.3909,34.7409,3172489.124
135.3964,34.7432,135.3937,34.741,3413277.246
135.3992,34.7432,135.3964,34.741,3273873.596
135.4019,34.7432,135.3991,34.741,2975000.62
135.4046,34.7432,135.4019,34.741,2644444.995
135.4074,34.7433,135.4046,34.741,2382535.107
135.4101,34.7433,135.4073,34.741,2148083.514
135.4128,34.7433,135.4101,34.741,1954819.363
135.4156,34.7433,135.4128,34.741,1832313.126
135.4183,34.7433,135.4155,34.7411,1832313.126
135.421,34.7433,135.4182,34.7411,1831257.037
135.4237,34.7433,135.421,34.7411,1831257.037
135.4265,34.7434,135.4237,34.7411,1786901.331
135.4292,34.7434,135.4264,34.7411,1786901.331
135.4319,34.7434,135.4292,34.7411,1822808.331
135.4347,34.7434,135.4319,34.7411,1831257.037
