原点(経度),原点(緯度),メッシュあたり賦存量MJ/y,メッシュあたり導入P_MJ/y,メッシュあたり条件付P_ML/y
135.603393957812,34.5761575398955,,,
135.367521930847,34.7712371806899,,,
135.370253639977,34.7712512964697,,,
135.372985351063,34.7712653509979,,,
135.375717058269,34.7712793443122,,,
135.378448760239,34.7712932762911,,,
135.381180462755,34.7713071470015,,,
135.383912167201,34.7713209564558,,,
135.386643870644,34.7713347041271,,,
135.389375563211,34.7713483881361,,,
135.392107247837,34.7713620089668,,,
135.394838934371,34.7713755685413,,,
135.397570622804,34.7713890668593,,,
135.400302304486,34.7714025019029,,,
135.403033974629,34.7714158724618,,,
135.405765641967,34.771429180655,,,
135.408497311181,34.771442427607,,,
135.411228982932,34.7714556135539,,,
135.413960665401,34.7714687414606,,,
135.41669235779,34.7714818109308,,,
135.41942405203,34.7714948191667,,,
135.422155748111,34.7715077661682,,,
135.424887466355,34.7715206579235,,,
135.427619227511,34.7715335014997,,,
135.430351011103,34.7715462907522,,,
135.433082796339,34.7715590187175,,,
135.435814583211,34.7715716853958,,,
135.438546382248,34.771584289702,,,
135.441278194228,34.7715968313459,,,
135.444010008705,34.7716093115924,,,
135.446741824805,34.7716217305579,,,
135.449473638286,34.7716340831914,,,
135.452205441025,34.7716463596466,,,
135.45493723724,34.7716585647391,,,
135.457669035117,34.7716707085707,,,
135.460400834646,34.7716827911413,,,
135.463132629205,34.7716948093013,,,
135.465864416839,34.7717067620422,,,
135.468596204151,34.7717186525748,,,
135.471327993085,34.7717304818446,,,
135.474059782603,34.7717422510723,,,
135.476791568455,34.7717539652831,,,
135.47952335151,34.7717656232893,,,
135.482255136149,34.7717772200429,,,
135.484986922362,34.7717887555438,,,
135.487718707727,34.7718002313158,,,
135.490450490862,34.7718116482293,,,
135.493182274126,34.7718230047879,,,
135.495914058935,34.7718343000853,,,
135.498645845093,34.7718455341928,,,
135.501377628433,34.7718567086225,,,
135.504109409376,34.7718678232066,,,
135.506841191836,34.7718788765165,,,
135.509572975802,34.7718898685522,,,
135.512304758117,34.77190080044,,,
135.515036535172,34.7719116734715,,,
135.517768310097,34.7719224865417,,,
135.520500086489,34.7719332383382,,,
135.52323186434,34.7719439288612,,,
135.525963639298,34.7719545630855,,,
135.528695410758,34.7719651413367,,,
135.531427183121,34.7719756589018,,,
135.534158956926,34.7719861151983,,,
135.536890731624,34.7719965144328,,,
135.539622505948,34.7720068658189,,,
135.542354280218,34.7720171651799,,,
135.545086055892,34.7720274032919,,,
135.547817832958,34.7720375801547,,,
135.550549612587,34.772047713749,,,
135.55328139437,34.7720578115733,,,
135.556013177527,34.7720678549744,,,
135.558744961946,34.7720778371749,,,
135.561476750347,34.772087752945,,,
135.564208557075,34.772097575015,,,
135.566940381181,34.7721073079353,,,
135.569672206571,34.77211697955,,,
135.572404033236,34.7721265898595,,,
135.575135855273,34.7721361381138,,,
135.577867667771,34.7721456238851,,,
135.580599476822,34.7721550479451,,,
135.583331287101,34.772164410752,,,
135.58606309838,34.7721737123555,,,
135.588794887252,34.7721829567783,,,
135.591526653366,34.7721921446305,,,
135.594258420636,34.7722012712504,,,
135.596990189055,34.7722103366379,,,
135.599721959105,34.7722193385331,,,
135.6024537314,34.7722282740294,,,
135.605185505452,34.7722371453986,,,
135.367539175365,34.768983619714,,,
135.370270809084,34.7689977338037,,,
135.373002444759,34.7690117866468,,,
135.375734076109,34.769025778415,,,
135.378465701731,34.7690397090153,,,
135.38119732785,34.7690535783842,,,
135.3839289559,34.7690673865021,,,
135.386660582733,34.7690811328283,,,
135.389392198115,34.7690948154953,,,
135.392123805195,34.769108435005,,,
135.394855414183,34.7691219932635,,,
135.39758702507,34.7691354902707,,,
135.400318628748,34.769148923558,,,
135.403050220311,34.7691622917074,,,
135.405781808953,34.7691755972919,,,
135.408513399471,34.7691888416403,,,
135.411244992531,34.7692020249809,,,
135.413976595733,34.7692151499561,,,
135.416708208275,34.7692282161812,,,
135.419439822668,34.7692412211771,,,
135.422171438903,34.7692541649436,,,
135.4249030811,34.7692670546944,,,
135.427634773279,34.7692798985911,,,
135.430366491142,34.7692926892191,,,
135.433098210649,34.7693054185651,,,
135.435829931792,34.7693180866292,,,
135.438561664323,34.7693306920916,,,
135.441293408894,34.7693432346479,,,
135.444025155835,34.769355715803,,,
135.446756904398,34.7693681356823,,,
135.449488649088,34.7693804888391,,,
135.452220379666,34.76939276491,,,
135.454952101613,34.7694049691268,,,
135.457683825221,34.7694171120877,,,
135.460415550481,34.7694291937928,,,
135.463147270534,34.7694412111344,,,
135.465878983415,34.7694531631436,,,
135.468610695966,34.7694650529902,,,
135.471342410139,34.7694768815792,,,
135.474074124884,34.7694886500652,,,
135.476805836043,34.7695003630468,,,
135.4795375445,34.7695120194022,,,
135.482269254541,34.76952361451,,,
135.485000966156,34.7695351483702,,,
135.487732676697,34.7695466227753,,,
135.490464384682,34.7695580387364,,,
135.493196092691,34.7695693944903,,,
135.495927802245,34.7695806889879,,,
135.498659513105,34.7695919223403,,,
135.50139122074,34.7696030966754,,,
135.504122925606,34.7696142117883,,,
135.506854631988,34.7696252656321,,,
135.509586339878,34.7696362582068,,,
135.51231804616,34.7696471906502,,,
135.515049747346,34.7696580642428,,,
135.517781446522,34.7696688778672,,,
135.520513147166,34.769679630223,,,
135.523244849268,34.7696903213102,,,
135.525976547425,34.7697009559107,,,
135.528708240934,34.7697115342937,,,
135.531439935249,34.7697220519457,,,
135.534171631006,34.7697325083341,,,
135.5369033277,34.7697429073873,,,
135.539635024181,34.7697532575301,,,
135.542366720731,34.7697635548634,,,
135.545098418684,34.7697737909528,,,
135.54783011803,34.769783965798,,,
135.550561823908,34.769794095414,,,
135.553293537267,34.7698041864863,,,
135.556025253376,34.7698142223017,,,
135.558756970747,34.7698241969216,,,
135.561488691636,34.7698341059713,,,
135.564220427671,34.7698439273117,,,
135.566952178323,34.7698536646529,,,
135.569683930259,34.7698633406937,,,
135.57241568347,34.7698729554344,,,
135.575147432401,34.7698825063283,,,
135.577879172439,34.7698919917088,,,
135.58061090935,34.769901414141,,,
135.583342647489,34.7699107753251,,,
