右上経度,右上緯度,左下経度,左下緯度,kW単価(φ300mm)_Dg2
34.7462,135.4893,34.7434,135.4865,83.30203667
34.7462,135.492,34.7434,135.4892,139.6163229
34.7462,135.4947,34.7434,135.492,385.7232709
34.7439,135.4893,34.7411,135.4865,74.8894288
34.7439,135.492,34.7411,135.4893,110.4345964
34.7439,135.4947,34.7411,135.492,155.0202021
34.7439,135.4975,34.7411,135.4947,377.1197779
34.7439,135.5002,34.7412,135.4974,569.2773303
34.7416,135.4893,34.7389,135.4865,38.25520861
34.7417,135.492,34.7389,135.4893,78.61252892
34.7417,135.4948,34.7389,135.492,88.80008776
34.7417,135.4975,34.7389,135.4947,136.424449
34.7417,135.5002,34.7389,135.4975,363.3424794
34.7417,135.5029,34.7389,135.5002,646.1478997
34.7394,135.4893,34.7366,135.4866,38.35903357
34.7394,135.492,34.7366,135.4893,78.61252892
34.7394,135.4948,34.7366,135.492,88.80008776
34.7394,135.4975,34.7366,135.4947,136.424449
34.7394,135.5002,34.7366,135.4975,363.3424794
34.7395,135.503,34.7367,135.5002,646.1478997
34.7371,135.4866,34.7343,135.4838,36.59474522
34.7371,135.4893,34.7343,135.4866,38.35903357
34.7372,135.492,34.7344,135.4893,41.08603619
34.7372,135.4948,34.7344,135.492,77.14940827
34.7372,135.4975,34.7344,135.4948,101.0399108
34.7372,135.5002,34.7344,135.4975,203.623485
34.7349,135.4811,34.7321,135.4784,35.00904865
34.7349,135.4839,34.7321,135.4811,35.30691004
34.7349,135.4866,34.7321,135.4839,37.25533921
34.7349,135.4893,34.7321,135.4866,38.93782552
34.7349,135.4921,34.7321,135.4893,42.78193199
34.7349,135.4948,34.7321,135.492,44.36334004
34.7349,135.4975,34.7321,135.4948,101.7514915
34.7349,135.5003,34.7321,135.4975,186.6533964
34.7349,135.503,34.7321,135.5002,606.0049
34.7351,135.5549,34.7323,135.5521,620.8397812
34.7352,135.5576,34.7324,135.5548,621.6006143
34.7352,135.5603,34.7324,135.5576,595.3357996
34.7352,135.5631,34.7324,135.5603,656.1786562
34.7325,135.4566,34.7297,135.4538,30.89814529
34.7325,135.4593,34.7297,135.4566,31.15742262
34.7326,135.4784,34.7298,135.4757,33.52084438
34.7326,135.4812,34.7298,135.4784,34.76214409
34.7326,135.4839,34.7298,135.4811,36.34487929
34.7326,135.4866,34.7298,135.4839,37.8407387
34.7326,135.4893,34.7298,135.4866,39.69313415
34.7326,135.4921,34.7298,135.4893,42.41214157
34.7327,135.4948,34.7299,135.4921,43.42136576
34.7327,135.4975,34.7299,135.4948,96.45257036
34.7327,135.5003,34.7299,135.4975,178.1254284
34.7327,135.503,34.7299,135.5002,665.6510515
34.7329,135.5494,34.7301,135.5467,646.1478997
34.7329,135.5521,34.7301,135.5494,513.3867422
34.7329,135.5549,34.7301,135.5521,439.5373494
34.7329,135.5576,34.7301,135.5549,561.712183
34.7302,135.4539,34.7274,135.4511,30.16452337
34.7302,135.4566,34.7274,135.4538,30.30023376
34.7302,135.4593,34.7275,135.4566,30.56300058
34.7303,135.4621,34.7275,135.4593,30.89650789
34.7303,135.4648,34.7275,135.462,31.12510437
34.7303,135.4757,34.7275,135.473,32.96883432
34.7303,135.4784,34.7275,135.4757,33.68962459
34.7303,135.4812,34.7275,135.4784,34.46903619
34.7304,135.4839,34.7276,135.4811,37.06564318
34.7304,135.4866,34.7276,135.4839,39.02202425
34.7304,135.4894,34.7276,135.4866,39.95153896
34.7304,135.4921,34.7276,135.4893,40.84179814
34.7304,135.4948,34.7276,135.4921,41.4865852
34.7304,135.4975,34.7276,135.4948,95.36079163
34.7304,135.5003,34.7276,135.4975,182.6350071
34.7306,135.5467,34.7278,135.5439,603.1225936
34.7306,135.5494,34.7278,135.5467,522.3749755
34.7306,135.5522,34.7278,135.5494,629.3127807
34.7306,135.5549,34.7278,135.5521,608.1847737
34.7306,135.5576,34.7279,135.5549,674.5027942
34.728,135.4511,34.7252,135.4484,33.4192127
34.728,135.4539,34.7252,135.4511,33.69607074
34.728,135.4566,34.7252,135.4539,32.71177126
34.728,135.4593,34.7252,135.4566,32.88049276
34.728,135.4621,34.7252,135.4593,33.03362959
34.728,135.4648,34.7252,135.4621,32.28381639
34.728,135.4675,34.7252,135.4648,32.15572973
34.728,135.4703,34.7252,135.4675,32.46809708
34.7281,135.473,34.7253,135.4702,32.72117007
34.7281,135.4757,34.7253,135.473,33.06841613
34.7281,135.4785,34.7253,135.4757,33.54715035
34.7281,135.4812,34.7253,135.4784,34.167374
34.7281,135.4839,34.7253,135.4812,36.92078698
34.7281,135.4866,34.7253,135.4839,38.58060855
34.7281,135.4894,34.7253,135.4866,39.10046773
