右上経度,右上緯度,左下経度,左下緯度,kW単価(φ300mm)_Dg3
34.7462,135.4893,34.7434,135.4865,1950.389739
34.7462,135.492,34.7434,135.4892,2777.219055
34.7462,135.4947,34.7434,135.492,6963.937858
34.7439,135.4893,34.7411,135.4865,1842.217089
34.7439,135.492,34.7411,135.4893,2301.495189
34.7439,135.4947,34.7411,135.492,2798.770869
34.7439,135.4975,34.7411,135.4947,6808.608389
34.7416,135.4893,34.7389,135.4865,1812.721132
34.7417,135.492,34.7389,135.4893,1877.635577
34.7417,135.4948,34.7389,135.492,1940.4121
34.7417,135.4975,34.7389,135.4947,2463.038807
34.7417,135.5002,34.7389,135.4975,6559.86983
34.7394,135.4893,34.7366,135.4866,1839.136478
34.7394,135.492,34.7366,135.4893,2195.409034
34.7394,135.4948,34.7366,135.492,2372.351167
34.7394,135.4975,34.7366,135.4947,3198.79875
34.7394,135.5002,34.7366,135.4975,6817.591919
34.7371,135.4866,34.7343,135.4838,1833.241742
34.7371,135.4893,34.7343,135.4866,1897.703868
34.7372,135.492,34.7344,135.4893,1994.831802
34.7372,135.4948,34.7344,135.492,2107.2617
34.7372,135.4975,34.7344,135.4948,2635.718114
34.7372,135.5002,34.7344,135.4975,4480.857475
34.7349,135.4811,34.7321,135.4784,1779.068988
34.7349,135.4839,34.7321,135.4811,1747.706465
34.7349,135.4866,34.7321,135.4839,1856.011215
34.7349,135.4893,34.7321,135.4866,1911.333525
34.7349,135.4921,34.7321,135.4893,2036.866706
34.7349,135.4948,34.7321,135.492,2080.843747
34.7349,135.4975,34.7321,135.4948,2635.842703
34.7349,135.5003,34.7321,135.4975,4268.876603
34.7325,135.4566,34.7297,135.4538,1665.632955
34.7325,135.4593,34.7297,135.4566,1671.007113
34.7326,135.4784,34.7298,135.4757,1725.914383
34.7326,135.4812,34.7298,135.4784,1732.231602
34.7326,135.4839,34.7298,135.4811,1822.003455
34.7326,135.4866,34.7298,135.4839,1872.405234
34.7326,135.4893,34.7298,135.4866,1939.837094
34.7326,135.4921,34.7298,135.4893,2027.3768
34.7327,135.4948,34.7299,135.4921,2060.245368
34.7327,135.4975,34.7299,135.4948,2508.506625
34.7327,135.5003,34.7299,135.4975,4129.451936
34.7329,135.5521,34.7301,135.5494,9268.80393
34.7329,135.5549,34.7301,135.5521,7935.509777
34.7302,135.4539,34.7274,135.4511,1603.865618
34.7302,135.4566,34.7274,135.4538,1618.549999
