原点(緯度),原点(経度),kW単価(φ800mm)_Dg1,kW単価(φ800mm)_Dg2,kW単価(φ800mm)_Dg3,kW単価(φ800mm)_Dg4,kW単価(φ300mm)_Dg1,kW単価(φ300mm)_Dg2,kW単価(φ300mm)_Dg3,kW単価(φ300mm)_Dg4
34.7380856986116,135.509773298625,190.709676616922,0,0,-0,287.817721436334,0,0,-0
34.7380966494948,135.512503967513,211.105017032898,0,0,-0,318.598227756609,0,0,-0
34.7381075490675,135.515234625731,206.515777532183,0,0,-0,311.672179327117,0,0,-0
34.738118392206,135.517965279518,161.354153146164,0,0,-0,243.514568985943,0,0,-0
34.738129174151,135.520695934707,118.468910571853,0,0,-0,178.792458288978,0,0,-0
34.7381398949026,135.523426591289,138.429519365835,0,0,-0,208.916870660071,0,0,-0
34.7381505451817,135.526157251436,156.374086691036,0,0,-0,235.998687227118,0,0,-0
34.738161124603,135.528887914691,139.959127314629,0,0,-0,211.225344369022,0,0,-0
34.7381716424776,135.531618579392,105.77286865949,0,0,-0,159.63167987805,0,0,-0
34.7381820991835,135.534349245453,101.262899576074,0,0,-0,152.82526581263,0,0,-0
34.7381924943351,135.537079914418,97.5581593476809,0,0,-0,147.234097551193,0,0,-0
34.7382028272433,135.539810588644,94.1732417990624,-0,-0,0,142.125603460197,-0,-0,0
34.7382130982384,135.542541266496,92.28634624389,-0,-0,0,139.277913773381,-0,-0,0
34.7382233080804,135.545271945689,90.5274641236967,-0,-0,0,136.623421074901,-0,-0,0
34.7382334567692,135.548002626215,89.9382321086904,-0,-0,0,135.734156203999,-0,-0,0
34.7382435499606,135.550733312701,89.9382321086904,0,0,-0,135.734156203999,0,0,-0
34.7382535888677,135.553464005707,91.3435169853887,0,0,-0,137.855002394686,0,0,-0
34.7382635679773,135.556194701012,94.2900820494335,0,0,-0,142.301937955805,0,0,-0
34.7382734859641,135.558925397629,96.1389071876577,0,0,-0,145.09217203337,0,0,-0
34.7382833390713,135.561656098588,93.7087621847637,0,0,-0,141.424614047323,0,0,-0
34.7357309099818,135.485211318675,165.392396369627,24.2478885303655,1214.71651557114,1552.48441189242,249.609057654797,36.5947452182548,1833.24174160834,2342.99870841822
34.7357423824703,135.487941902134,165.753121334446,25.4169161343238,1257.42949102562,1605.6880942366,250.153461270184,38.3590335712958,1897.70386796268,2423.29333686061
34.7357538006177,135.490672484644,154.781682549579,27.2238437440233,1321.78701813803,1597.23844536073,233.595441939672,41.0860361893578,1994.83180158074,2410.5411853729
34.7357651596388,135.493403067966,151.390052055465,51.119641379486,1396.28371491561,1645.99540888603,228.476816717887,77.1494082706692,2107.2616997454,2484.12485661049
34.7357764574586,135.496133652829,146.290290917889,66.9496256806455,1746.44197278115,1950.06237503234,220.780292574358,101.039910801826,2635.71811427446,2943.02061330606
34.7357876953557,135.498864239531,144.208360781487,134.922091633668,2969.04191911815,0,217.638258050055,203.623485049635,4480.85747492543,0
34.7357988825157,135.501594830486,144.208360781487,0,0,-0,217.638258050055,0,0,-0
34.7358100176359,135.504325425987,143.799065528559,0,0,-0,217.020552492676,0,0,-0
34.7358210915135,135.507056022993,139.190121120592,-0,-0,0,210.064765553808,-0,-0,0
34.735832104149,135.509786621496,153.221383330329,0,0,-0,231.240649178184,0,0,-0
34.735843059232,135.51251721685,134.034931449459,0,0,-0,202.284589051815,0,0,-0
34.7358539603096,135.51524780456,122.775131069214,0,0,-0,185.291376401259,0,0,-0
34.7358648036707,135.517978389288,112.008557305591,0,0,-0,169.042537940131,0,0,-0
34.7358755858435,135.520708975418,108.336145590653,0,0,-0,163.500159647012,0,0,-0
34.735886306828,135.523439562942,114.800311377407,0,0,-0,173.255833825346,0,0,-0
34.7358969560321,135.526170153962,112.506004636334,0,0,-0,169.793282002042,0,0,-0
34.7359075330706,135.528900748003,118.284523162402,0,0,-0,178.514182089306,0,0,-0
34.7359180485683,135.53163134348,98.124991777719,0,0,-0,148.089557123795,0,0,-0
34.7359285029023,135.534361940317,94.7013160521413,0,0,-0,142.922569460909,0,0,-0
34.7359388953333,135.53709253976,92.28634624389,0,0,-0,139.277913773381,0,0,-0
34.7359492246215,135.539823143638,92.28634624389,-0,-0,0,139.277913773381,-0,-0,0
34.7359594914549,135.542553750625,90.7436491126488,0,0,-0,136.94968596105,0,0,-0
34.7359696971404,135.545284358952,89.9382321086904,0,0,-0,135.734156203999,0,0,-0
34.7359798416777,135.548014968611,90.8521292669975,0,0,-0,137.113403457716,0,0,-0
34.7359899292937,135.550745583594,93.8824041159276,0,0,-0,141.686673245681,0,0,-0
34.735999960823,135.55347620427,98.124991777719,0,0,-0,148.089557123795,0,0,-0
34.7360099321858,135.556206827066,110.622716349117,0,0,-0,166.951036379009,0,0,-0
34.7360198424309,135.558937451175,121.986847723665,0,0,-0,184.101704642663,0,0,-0
34.7360296887172,135.561668079168,129.247969611979,0,0,-0,195.060139442822,0,0,-0
34.7334541706781,135.479764304516,157.345354310235,23.1971968685285,1178.82133775732,1445.72184185928,237.464517582566,35.0090486484393,1779.06898817393,2181.87337809033
34.7334657605008,135.4824948102,147.999622457339,23.3945615402879,1158.04034959267,1484.6994905064,223.360003879998,35.3069100423942,1747.70646494571,2240.69817513036
34.7334772891453,135.485225317475,154.31026625755,24.6856019092806,1229.80369967531,1532.65156768443,232.883983740871,37.2553392143035,1856.0112152333,2313.06711747429
34.7334887618316,135.487955824834,151.692227808071,25.8004270041122,1266.46058027216,1555.79930383619,228.932858268222,38.9378255164486,1911.33352522567,2348.00152035198
34.7335001808154,135.490686331821,146.572432269708,28.3475540513316,1349.63958769661,1560.37282951107,221.206098345958,42.7819319925564,2036.86670640941,2354.9038535845
34.7335115408271,135.493416839798,141.786951738514,29.395404112681,1378.77902771536,1594.46851854832,213.98388431414,44.3633400386218,2080.84374721249,2406.36083103622
34.7335228396501,135.496147349322,134.628531677313,67.4211231446977,1746.52452588346,1465.2607595713,203.180446399254,101.751491504881,2635.84270284399,2211.36137720483
34.7335340788923,135.498877860737,132.863297433293,123.677613367375,2828.58217510633,1603.24129515118,200.516367119544,186.653396427202,4268.87660330863,2419.6006446487
34.7335452696157,135.501608376713,134.86744655163,401.5423300591,0,5404.95664737728,203.54101507077,606.004899950588,0,8157.12309048226
34.7335564103244,135.504338897556,130.805174065135,0,0,-0,197.410261604783,0,0,-0
34.7335674897964,135.507069419893,127.086632327497,0,0,-0,191.798264201303,0,0,-0
34.7335785080321,135.509799943715,118.284523162402,0,0,-0,178.514182089306,0,0,-0
34.7335894675459,135.51253046571,105.699313118002,0,0,-0,159.520670364922,0,0,-0
34.7336003707471,135.515260982729,101.398006847023,0,0,-0,153.029168769018,0,0,-0
34.7336112150966,135.5179914981,99.2138461251219,0,0,-0,149.73284855402,0,0,-0
34.7336219982448,135.52072201488,96.6278526787583,-0,-0,0,145.83008517785,-0,-0,0
34.7336327201919,135.52345253306,95.8358210994242,-0,-0,0,144.634756610819,-0,-0,0
34.7336433682334,135.526183055188,97.3706676897417,-0,-0,0,146.951136441229,-0,-0,0
34.7336539421093,135.52891358018,95.2353460298789,-0,-0,0,143.728523799974,-0,-0,0
34.7336644544621,135.531644106594,92.8500991225942,-0,-0,0,140.128725708466,-0,-0,0
34.7336749056747,135.534374634363,92.28634624389,0,0,-0,139.277913773381,0,0,-0
34.7336852947228,135.537105164359,91.3435169853887,0,0,-0,137.855002394686,0,0,-0
34.7336956199164,135.539835697845,89.9382321086904,0,0,-0,135.734156203999,0,0,-0
34.7337058822166,135.542566233906,88.1133984137315,0,0,-0,132.980129846237,0,0,-0
34.7337160833835,135.545296771309,92.1185528870829,0,0,-0,139.024681202884,0,0,-0
34.7337262234169,135.548027310046,97.9984605181733,0,0,-0,147.898597024344,0,0,-0
34.7337363054708,135.550757853271,105.260119296182,0,0,-0,158.857842094708,0,0,-0
34.7337463300679,135.553488401423,117.734788740269,411.372007661526,0,-0,177.684526711664,620.839781222328,0,-0
34.7337562942121,135.556218951554,150.193292750679,411.876140023857,0,-0,226.670675874267,621.600614287551,0,-0
34.7337661972306,135.558949503,175.717470825071,394.47292283975,0,-0,265.191588421686,595.335799599345,0,-0
34.7337760371423,135.561680057916,213.177576807415,434.787749365417,0,-0,321.726120595734,656.178656220753,0,-0
34.731093576246,135.455204589749,87.6560624358055,20.4732886706339,1103.6579700672,1450.77183158395,132.289921559838,30.8981452856562,1665.63295489121,2189.49478756265
34.7311056939088,135.457935020573,87.6560624358055,20.6450873245198,1107.21891838181,1447.59090790731,132.289921559838,31.1574226227291,1671.00711339353,2184.69415960861
34.7311889018596,135.477048026941,154.31026625755,22.2111041646876,1143.60079085815,1450.26054593253,232.883983740871,33.5208443780573,1725.91438303753,2188.72315880314
34.7312005521865,135.479778454678,164.142129874392,23.0335964856027,1147.78661616515,1451.6446137899,247.722164130409,34.7621440850468,1732.23160156343,2190.81198441539
34.7312121413437,135.482508884013,139.959127314629,24.0823259321298,1207.26996249258,1499.73910650588,211.225344369022,36.3448792931239,1822.00345534177,2263.39585930159
34.7312236693313,135.485239314938,139.573564980429,25.073490976532,1240.66647072921,1524.30023399475,210.643456368006,37.8407387047059,1872.40523397781,2300.46334258381
34.7312351417535,135.487969746151,137.802005678773,26.3008988468322,1285.34720872298,1538.61100109403,207.969831355175,39.6931341508607,1939.8370939106,2322.06105304919
34.7312465609037,135.490700177236,133.916838998843,28.1025287889806,1343.35152108584,1534.95276953107,202.10636474428,42.4121415657924,2027.37679988627,2316.54007534311
34.7312579211689,135.493430609388,129.910779712553,28.7712465406557,1365.13042355218,1540.47116275793,196.060447850221,43.4213657592651,2060.24536845836,2324.86839613269
34.7312692202579,135.496161043091,126.137437563226,63.9100275383947,1662.15090864277,1395.5580334349,190.365746045443,96.4525703642348,2508.50662480985,2106.1665062871
34.7312804601689,135.498891478841,122.874383398292,118.026932715155,2736.19858931986,1313.25696010394,185.441167328018,178.125428372632,4129.45193629191,1981.95829714906
34.7312916540883,135.501621920229,119.493405867678,441.064212938933,0,2481.49819266316,180.338619484873,665.651051520527,0,3745.05986392785
34.7313028003001,135.504352367488,116.293505940082,-0,-0,0,175.509352704482,-0,-0,0
34.731313885281,135.507082816231,113.344975588133,-0,-0,0,171.059451144488,-0,-0,0
34.7313249090316,135.509813266448,108.104987385268,-0,-0,0,163.151297286457,-0,-0,0
34.7313358734392,135.512543715644,96.260679077699,0,0,-0,145.275949325369,0,0,-0
34.7313467802079,135.515274161637,94.4658870501471,0,0,-0,142.567261643728,0,0,-0
34.7313576274345,135.518004606913,94.4658870501471,-0,-0,0,142.567261643728,-0,-0,0
34.7313684134468,135.520735053604,91.0153366848424,-0,-0,0,137.359714960933,-0,-0,0
34.7313791382453,135.523465501703,89.7788613488994,-0,-0,0,135.493634958511,-0,-0,0
34.7313897850787,135.526195954937,90.6354277064322,-0,-0,0,136.78635896527,-0,-0,0
34.7314003538493,135.528926411293,91.8402491019255,-0,-0,0,138.604667060277,-0,-0,0
34.7314108610872,135.531656869068,89.9382321086904,0,0,-0,135.734156203999,0,0,-0
34.7314213072083,135.534387328195,89.9382321086904,0,0,-0,135.734156203999,0,0,-0
34.7314316910843,135.537117789028,89.9382321086904,0,0,-0,135.734156203999,0,0,-0
34.7314420108499,135.539848252108,89.1469866649189,0,0,-0,134.540014067307,0,0,-0
34.7314522675508,135.542578717091,92.28634624389,0,0,-0,139.277913773381,0,0,-0
34.7314624631332,135.545309183418,100.459756948901,0,0,-0,151.613168529252,0,0,-0
34.7314725975964,135.548039651079,110.622716349117,428.141312432442,0,-0,166.951036379009,646.147899692537,0,-0
34.7314826740623,135.55077012212,130.692701860436,340.173006335493,6141.56276172753,-0,197.240519333412,513.386742164617,9268.80393011905,-0
34.731492692965,135.553500597258,172.330626149305,291.239974228308,5258.1143921896,-0,260.080185923762,439.53734944423,7935.50977725963,-0
34.7315026513689,135.556231074233,251.648364674978,372.193721217571,0,-0,379.785966862183,561.712183010678,0,-0
34.7288155493559,135.449758726856,87.6560624358055,,,,132.289921559838,,,
34.7288277916842,135.452489072867,87.6560624358055,19.987186570371,1062.73057784629,1441.82183452031,132.289921559838,30.1645233669104,1603.8656183705,2175.98751405973
34.7288399712982,135.455219423766,87.6560624358055,20.0771090544142,1072.46053282686,1443.14957791488,132.289921559838,30.3002337562433,1618.54999895288,2177.99133518332
34.72885208973,135.457949776367,87.6560624358055,20.2512198605254,1080.28342333812,1440.71193876736,132.289921559838,30.5630005774204,1630.3562510631,2174.31246708618
34.72886414698,135.460680130662,88.5755316221951,20.4722037248751,1088.54649433498,1417.50524062691,133.677578079696,30.8965078930408,1642.82682050966,2139.28907918403
34.7288761488188,135.463410484279,90.312306752042,20.6236730671634,1096.51539437521,1410.30672559148,136.298707061651,31.1251043740282,1654.85342918846,2128.42513021209
34.7289235763705,135.474331899109,120.535774991028,21.8453391298599,1136.76066730195,1438.32652240458,181.911755737318,32.9688343239651,1715.59131600071,2170.7124132536
34.7289352847377,135.477062251684,131.711969032657,22.3229389048929,1141.6082434709,1447.12647599552,198.77879028142,33.689624592435,1722.90724433841,2183.99324218803
34.7289469342329,135.479792603167,137.802005678773,22.8393815070284,1147.15608025168,1456.4862037193,207.969831355175,34.4690361862046,1731.28000113539,2198.11887836189
34.7289585225634,135.482522956249,127.727405263602,24.5599082236982,1223.98445975446,1476.55732663382,192.765314272906,37.0656431756703,1847.22885869942,2228.41007787731
34.7289700497293,135.48525331092,124.078050827499,25.8562175703862,1264.17286157642,1492.65224854377,187.257733865109,39.0220242521786,1907.88091603471,2252.7004224104
34.7289815216097,135.487983665927,122.874383398292,26.4721193593298,1284.92580485109,1509.23650266854,185.441167328018,39.9515389609597,1939.20111410945,2277.7292637287
34.7289929405514,135.49071402089,121.402246217002,27.0620102055108,1307.64560064269,1488.99146543451,183.219428102842,40.8417981353015,1973.48967236323,2247.17559392832
34.7290043006661,135.493444376952,118.653873742144,27.4892498176083,1320.63326273815,1483.646514781,179.071603422918,41.4865851951016,1993.09056193218,2239.10903146766
34.7290155996097,135.496174734564,118.653873742144,63.186608670457,1661.28510484983,1281.32190275154,179.071603422918,95.3607916254342,2507.19995972964,1933.76213005279
34.7290268398365,135.498905094454,116.829832639267,121.015005472935,2794.78709234685,1162.78121960057,176.31877323963,182.635007057294,4217.87329876671,1754.86135308512
34.7290380368703,135.501635461552,113.769170856053,0,0,2056.88627969636,171.699643701166,0,0,3104.23850943353
34.7290491885298,135.504365835838,110.864779185767,-0,-0,0,167.316355933449,-0,-0,0
34.7290602789636,135.507096211607,107.114596380329,-0,-0,0,161.656606049865,-0,-0,0
