右上経度,右上緯度,左下経度,左下緯度,kW単価(φ300mm)_Dg1
34.7644,135.5547,34.7616,135.552,321.2755238
34.7622,135.5465,34.7594,135.5438,406.7211418
34.7622,135.5493,34.7594,135.5465,382.3178733
34.7622,135.552,34.7594,135.5492,250.9745339
34.7622,135.5547,34.7594,135.552,196.2281642
34.7599,135.5465,34.7571,135.5438,365.2718535
34.7599,135.5493,34.7571,135.5465,239.6977262
34.7599,135.552,34.7571,135.5492,173.9126035
34.7576,135.5411,34.7548,135.5383,515.484773
34.7576,135.5438,34.7548,135.5411,286.738405
34.7576,135.5465,34.7549,135.5438,221.2060983
34.7577,135.5493,34.7549,135.5465,171.4429925
34.7577,135.552,34.7549,135.5493,147.9940155
34.7554,135.5438,34.7526,135.5411,327.7010343
34.7554,135.5466,34.7526,135.5438,169.1672006
34.7554,135.5493,34.7526,135.5465,144.6347566
34.7554,135.552,34.7526,135.5493,136.0561827
34.7554,135.5548,34.7526,135.552,131.8337494
34.7554,135.5575,34.7526,135.5547,128.1512424
34.7531,135.5438,34.7503,135.5411,345.9890256
34.7531,135.5466,34.7503,135.5438,156.580699
34.7532,135.5493,34.7504,135.5466,139.1089897
34.7532,135.552,34.7504,135.5493,133.0572645
34.7532,135.5548,34.7504,135.552,130.856089
34.7532,135.5575,34.7504,135.5547,121.3707534
34.7532,135.5602,34.7504,135.5575,107.5437056
34.7532,135.563,34.7504,135.5602,96.46371909
34.7508,135.5357,34.7481,135.5329,355.6445333
34.7509,135.5384,34.7481,135.5356,431.997597
34.7509,135.5411,34.7481,135.5384,434.4521288
34.7509,135.5439,34.7481,135.5411,245.0755598
34.7509,135.5466,34.7481,135.5438,145.092172
34.7509,135.5493,34.7481,135.5466,139.1089897
34.7509,135.552,34.7481,135.5493,133.0572645
34.7509,135.5548,34.7481,135.552,130.856089
34.7509,135.5575,34.7481,135.5548,121.3707534
34.7509,135.5602,34.7481,135.5575,107.5437056
34.7485,135.5029,34.7457,135.5002,522.530123
34.7486,135.5357,34.7458,135.5329,355.6445333
34.7486,135.5384,34.7458,135.5357,431.997597
34.7486,135.5411,34.7458,135.5384,434.4521288
34.7486,135.5439,34.7458,135.5411,245.0755598
34.7486,135.5466,34.7458,135.5438,145.092172
34.7486,135.5493,34.7459,135.5466,137.606913
34.7487,135.5521,34.7459,135.5493,134.3823808
34.7487,135.5548,34.7459,135.552,129.8928222
34.7487,135.5575,34.7459,135.5548,118.2426412
34.7487,135.5603,34.7459,135.5575,90.24025334
34.7462,135.4893,34.7434,135.4865,283.5484845
34.7462,135.492,34.7434,135.4892,287.0972766
34.7462,135.4947,34.7434,135.492,425.5857588
34.7462,135.4975,34.7434,135.4947,352.9088061
34.7462,135.5002,34.7434,135.4974,290.7360253
34.7462,135.5029,34.7434,135.5002,325.8390966
34.7463,135.522,34.7435,135.5193,334.8769693
34.7463,135.5248,34.7435,135.522,350.2148458
34.7463,135.5275,34.7435,135.5247,413.3166198
34.7463,135.5302,34.7435,135.5275,364.6911351
34.7463,135.533,34.7435,135.5302,306.6720909
34.7463,135.5357,34.7435,135.5329,304.2317294
34.7464,135.5384,34.7436,135.5357,295.6066031
34.7464,135.5411,34.7436,135.5384,239.1978352
34.7464,135.5439,34.7436,135.5411,150.4201469
34.7464,135.5466,34.7436,135.5439,141.8619196
34.7464,135.5493,34.7436,135.5466,135.9755329
34.7464,135.5521,34.7436,135.5493,132.2899216
34.7464,135.5548,34.7436,135.5521,129.8928222
34.7464,135.5575,34.7436,135.5548,122.5377799
34.7464,135.5603,34.7436,135.5575,97.82120426
34.7439,135.4893,34.7411,135.4865,263.9709137
34.7439,135.492,34.7411,135.4893,264.5798431
34.7439,135.4947,34.7411,135.492,264.5798431
34.7439,135.4975,34.7411,135.4947,273.0841952
34.7439,135.5002,34.7412,135.4974,270.827301
34.744,135.5029,34.7412,135.5002,305.8542986
34.744,135.5057,34.7412,135.5029,518.9835384
34.744,135.5111,34.7412,135.5084,386.17967
34.744,135.5139,34.7412,135.5111,350.7503425
34.744,135.522,34.7412,135.5193,335.3665555
34.744,135.5248,34.7412,135.522,322.6311167
34.7441,135.5275,34.7413,135.5248,351.2874793
34.7441,135.5302,34.7413,135.5275,320.3781061
34.7441,135.533,34.7413,135.5302,202.2845891
34.7441,135.5357,34.7413,135.5329,232.1768461
34.7441,135.5384,34.7413,135.5357,224.6725994
34.7441,135.5412,34.7413,135.5384,184.9925193
34.7441,135.5439,34.7413,135.5411,143.3692025
34.7441,135.5466,34.7413,135.5439,140.214379
34.7441,135.5494,34.7413,135.5466,135.5737139
34.7441,135.5521,34.7414,135.5493,132.2899216
34.7442,135.5548,34.7414,135.5521,130.856089
34.7442,135.5575,34.7414,135.5548,123.4611001
34.7442,135.5603,34.7414,135.5575,113.2793699
34.7416,135.4893,34.7389,135.4865,252.0777187
34.7417,135.492,34.7389,135.4893,260.6712773
34.7417,135.4948,34.7389,135.492,252.0777187
34.7417,135.4975,34.7389,135.4947,252.0777187
34.7417,135.5002,34.7389,135.4975,249.0670184
34.7417,135.5029,34.7389,135.5002,249.0670184
34.7417,135.5057,34.7389,135.5029,249.0670184
34.7417,135.5084,34.7389,135.5057,247.7221641
34.7417,135.5111,34.7389,135.5084,272.4355392
34.7417,135.5139,34.739,135.5111,310.8275393
34.7418,135.5166,34.739,135.5138,389.4579355
34.7418,135.5193,34.739,135.5166,364.1122603
34.7418,135.5221,34.739,135.5193,328.1698483
34.7418,135.5248,34.739,135.522,268.9223024
34.7418,135.5275,34.739,135.5248,288.5417912
34.7418,135.5302,34.739,135.5275,252.3550319
34.7418,135.533,34.739,135.5302,177.547
34.7418,135.5357,34.739,135.533,160.8630603
34.7418,135.5384,34.739,135.5357,156.687653
34.7419,135.5412,34.7391,135.5384,150.6176783
34.7419,135.5439,34.7391,135.5412,142.3902694
34.7419,135.5466,34.7391,135.5439,142.1256035
34.7419,135.5494,34.7391,135.5466,135.3337605
34.7419,135.5521,34.7391,135.5493,133.1344887
34.7419,135.5548,34.7391,135.5521,132.5957942
34.7419,135.5576,34.7391,135.5548,131.2303913
34.7419,135.5603,34.7391,135.5575,124.3984403
34.7394,135.4893,34.7366,135.4866,254.0318095
34.7394,135.492,34.7366,135.4893,246.6566925
34.7394,135.4948,34.7366,135.492,246.6566925
34.7394,135.4975,34.7366,135.4947,239.1978352
34.7394,135.5002,34.7366,135.4975,235.7561398
34.7395,135.503,34.7367,135.5002,235.7561398
34.7395,135.5057,34.7367,135.5029,235.0314795
34.7395,135.5084,34.7367,135.5057,226.8948803
34.7395,135.5111,34.7367,135.5084,287.8177214
34.7395,135.5139,34.7367,135.5111,318.5982278
34.7395,135.5166,34.7367,135.5139,311.6721793
34.7395,135.5193,34.7367,135.5166,243.514569
34.7395,135.5221,34.7367,135.5193,178.7924583
34.7395,135.5248,34.7367,135.5221,208.9168707
34.7395,135.5275,34.7368,135.5248,235.9986872
34.7396,135.5303,34.7368,135.5275,211.2253444
34.7396,135.533,34.7368,135.5302,159.6316799
34.7396,135.5357,34.7368,135.533,152.8252658
34.7396,135.5385,34.7368,135.5357,147.2340976
34.7396,135.5412,34.7368,135.5384,142.1256035
34.7396,135.5439,34.7368,135.5412,139.2779138
34.7396,135.5466,34.7368,135.5439,136.6234211
34.7396,135.5494,34.7368,135.5466,135.7341562
34.7396,135.5521,34.7368,135.5494,135.7341562
34.7397,135.5548,34.7369,135.5521,137.8550024
34.7397,135.5576,34.7369,135.5548,142.301938
34.7397,135.5603,34.7369,135.5576,145.092172
34.7397,135.563,34.7369,135.5603,141.424614
34.7371,135.4866,34.7343,135.4838,249.6090577
34.7371,135.4893,34.7343,135.4866,250.1534613
34.7372,135.492,34.7344,135.4893,233.5954419
34.7372,135.4948,34.7344,135.492,228.4768167
34.7372,135.4975,34.7344,135.4948,220.7802926
34.7372,135.5002,34.7344,135.4975,217.6382581
34.7372,135.503,34.7344,135.5002,217.6382581
34.7372,135.5057,34.7344,135.503,217.0205525
34.7372,135.5084,34.7344,135.5057,210.0647656
34.7372,135.5112,34.7344,135.5084,231.2406492
34.7372,135.5139,34.7344,135.5111,202.2845891
34.7373,135.5166,34.7345,135.5139,185.2913764
34.7373,135.5194,34.7345,135.5166,169.0425379
34.7373,135.5221,34.7345,135.5193,163.5001596
34.7373,135.5248,34.7345,135.5221,173.2558338
34.7373,135.5275,34.7345,135.5248,169.793282
34.7373,135.5303,34.7345,135.5275,178.5141821
34.7373,135.533,34.7345,135.5303,148.0895571
34.7373,135.5357,34.7345,135.533,142.9225695
34.7373,135.5385,34.7345,135.5357,139.2779138
34.7373,135.5412,34.7346,135.5384,139.2779138
34.7374,135.5439,34.7346,135.5412,136.949686
34.7374,135.5467,34.7346,135.5439,135.7341562
34.7374,135.5494,34.7346,135.5466,137.1134035
34.7374,135.5521,34.7346,135.5494,141.6866732
34.7374,135.5549,34.7346,135.5521,148.0895571
34.7374,135.5576,34.7346,135.5548,166.9510364
34.7374,135.5603,34.7346,135.5576,184.1017046
34.7374,135.563,34.7346,135.5603,195.0601394
34.7349,135.4811,34.7321,135.4784,237.4645176
34.7349,135.4839,34.7321,135.4811,223.3600039
34.7349,135.4866,34.7321,135.4839,232.8839837
34.7349,135.4893,34.7321,135.4866,228.9328583
34.7349,135.4921,34.7321,135.4893,221.2060983
34.7349,135.4948,34.7321,135.492,213.9838843
34.7349,135.4975,34.7321,135.4948,203.1804464
34.7349,135.5003,34.7321,135.4975,200.5163671
34.7349,135.503,34.7321,135.5002,203.5410151
34.735,135.5057,34.7322,135.503,197.4102616
34.735,135.5084,34.7322,135.5057,191.7982642
34.735,135.5112,34.7322,135.5084,178.5141821
34.735,135.5139,34.7322,135.5112,159.5206704
34.735,135.5166,34.7322,135.5139,153.0291688
34.735,135.5194,34.7322,135.5166,149.7328486
34.735,135.5221,34.7322,135.5193,145.8300852
34.735,135.5248,34.7322,135.5221,144.6347566
34.735,135.5276,34.7322,135.5248,146.9511364
34.7351,135.5303,34.7323,135.5275,143.7285238
34.7351,135.533,34.7323,135.5303,140.1287257
34.7351,135.5357,34.7323,135.533,139.2779138
34.7351,135.5385,34.7323,135.5357,137.8550024
34.7351,135.5412,34.7323,135.5385,135.7341562
34.7351,135.5439,34.7323,135.5412,132.9801298
34.7351,135.5467,34.7323,135.5439,139.0246812
34.7351,135.5494,34.7323,135.5467,147.898597
34.7351,135.5521,34.7323,135.5494,158.8578421
34.7351,135.5549,34.7323,135.5521,177.6845267
34.7352,135.5576,34.7324,135.5548,226.6706759
34.7352,135.5603,34.7324,135.5576,265.1915884
34.7352,135.5631,34.7324,135.5603,321.7261206
34.7325,135.4566,34.7297,135.4538,132.2899216
34.7325,135.4593,34.7297,135.4566,132.2899216
34.7326,135.4784,34.7298,135.4757,232.8839837
34.7326,135.4812,34.7298,135.4784,247.7221641
34.7326,135.4839,34.7298,135.4811,211.2253444
34.7326,135.4866,34.7298,135.4839,210.6434564
34.7326,135.4893,34.7298,135.4866,207.9698314
34.7326,135.4921,34.7298,135.4893,202.1063647
34.7327,135.4948,34.7299,135.4921,196.0604479
34.7327,135.4975,34.7299,135.4948,190.365746
34.7327,135.5003,34.7299,135.4975,185.4411673
34.7327,135.503,34.7299,135.5002,180.3386195
34.7327,135.5057,34.7299,135.503,175.5093527
34.7327,135.5085,34.7299,135.5057,171.0594511
34.7327,135.5112,34.7299,135.5084,163.1512973
34.7327,135.5139,34.7299,135.5112,145.2759493
34.7327,135.5166,34.7299,135.5139,142.5672616
34.7328,135.5194,34.73,135.5166,142.5672616
34.7328,135.5221,34.73,135.5194,137.359715
34.7328,135.5248,34.73,135.5221,135.493635
34.7328,135.5276,34.73,135.5248,136.786359
34.7328,135.5303,34.73,135.5276,138.6046671
34.7328,135.533,34.73,135.5303,135.7341562
34.7328,135.5358,34.73,135.533,135.7341562
34.7328,135.5385,34.73,135.5357,135.7341562
34.7328,135.5412,34.73,135.5385,134.5400141
34.7328,135.544,34.7301,135.5412,139.2779138
34.7329,135.5467,34.7301,135.5439,151.6131685
34.7329,135.5494,34.7301,135.5467,166.9510364
34.7329,135.5521,34.7301,135.5494,197.2405193
34.7329,135.5549,34.7301,135.5521,260.0801859
34.7329,135.5576,34.7301,135.5549,379.7859669
34.7302,135.4511,34.7274,135.4484,132.2899216
34.7302,135.4539,34.7274,135.4511,132.2899216
34.7302,135.4566,34.7274,135.4538,132.2899216
34.7302,135.4593,34.7275,135.4566,132.2899216
34.7303,135.4621,34.7275,135.4593,133.6775781
34.7303,135.4648,34.7275,135.462,136.2987071
34.7303,135.4757,34.7275,135.473,181.9117557
34.7303,135.4784,34.7275,135.4757,198.7787903
34.7303,135.4812,34.7275,135.4784,207.9698314
34.7304,135.4839,34.7276,135.4811,192.7653143
34.7304,135.4866,34.7276,135.4839,187.2577339
34.7304,135.4894,34.7276,135.4866,185.4411673
34.7304,135.4921,34.7276,135.4893,183.2194281
34.7304,135.4948,34.7276,135.4921,179.0716034
34.7304,135.4975,34.7276,135.4948,179.0716034
34.7304,135.5003,34.7276,135.4975,176.3187732
34.7304,135.503,34.7276,135.5003,171.6996437
34.7304,135.5057,34.7277,135.503,167.3163559
34.7305,135.5085,34.7277,135.5057,161.656606
34.7305,135.5112,34.7277,135.5085,150.6176783
34.7305,135.5139,34.7277,135.5112,137.1954091
34.7305,135.5167,34.7277,135.5139,133.8335613
34.7305,135.5194,34.7277,135.5166,135.0151407
34.7305,135.5221,34.7277,135.5194,133.2892063
34.7305,135.5249,34.7277,135.5221,134.93572
34.7305,135.5276,34.7277,135.5248,135.7341562
34.7305,135.5303,34.7277,135.5276,134.7771586
34.7306,135.533,34.7278,135.5303,134.7771586
34.7306,135.5358,34.7278,135.533,134.7771586
34.7306,135.5385,34.7278,135.5358,135.7341562
34.7306,135.5412,34.7278,135.5385,136.8679737
34.7306,135.544,34.7278,135.5412,147.3286602
34.7306,135.5467,34.7278,135.5439,161.656606
34.7306,135.5494,34.7278,135.5467,199.1238923
34.7306,135.5522,34.7278,135.5494,274.7194299
34.7306,135.5549,34.7278,135.5521,429.5706442
34.728,135.4511,34.7252,135.4484,132.2899216
34.728,135.4539,34.7252,135.4511,132.2899216
34.728,135.4566,34.7252,135.4539,132.2899216
34.728,135.4593,34.7252,135.4566,132.2899216
34.728,135.4621,34.7252,135.4593,132.2899216
34.728,135.4648,34.7252,135.4621,135.4136505
34.728,135.4675,34.7252,135.4648,137.6895102
34.728,135.4703,34.7252,135.4675,142.5672616
34.7281,135.473,34.7253,135.4702,150.91495
34.7281,135.4757,34.7253,135.473,162.1135859
34.7281,135.4785,34.7253,135.4757,169.6676953
34.7281,135.4812,34.7253,135.4784,171.1871075
34.7281,135.4839,34.7253,135.4812,170.2974937
34.7281,135.4866,34.7253,135.4839,168.4219706
34.7281,135.4894,34.7253,135.4866,166.9510364
34.7281,135.4921,34.7253,135.4894,163.1512973
34.7281,135.4948,34.7254,135.4921,163.1512973
34.7282,135.4976,34.7254,135.4948,162.4580198
34.7282,135.5003,34.7254,135.4975,158.5284893
34.7282,135.503,34.7254,135.5003,157.0093936
34.7282,135.5058,34.7254,135.503,152.6219055
34.7282,135.5085,34.7254,135.5057,144.1802162
34.7282,135.5112,34.7254,135.5085,141.2504458
34.7282,135.5139,34.7254,135.5112,132.1375138
34.7282,135.5167,34.7254,135.5139,129.6725404
34.7282,135.5194,34.7255,135.5167,135.0151407
34.7283,135.5221,34.7255,135.5194,135.0946549
34.7283,135.5249,34.7255,135.5221,134.0682197
34.7283,135.5276,34.7255,135.5248,132.9801298
34.7283,135.5303,34.7255,135.5276,133.9116894
34.7283,135.5331,34.7255,135.5303,132.5957942
34.7283,135.5358,34.7255,135.533,134.6980176
34.7283,135.5385,34.7255,135.5358,135.7341562
34.7283,135.5412,34.7255,135.5385,136.8679737
34.7283,135.544,34.7255,135.5412,156.154339
34.7284,135.5467,34.7256,135.544,190.6822311
34.7284,135.5494,34.7256,135.5467,268.6074051
34.7284,135.5522,34.7256,135.5494,458.781448
34.7257,135.4512,34.7229,135.4484,132.2899216
34.7257,135.4539,34.7229,135.4511,132.2899216
34.7257,135.4566,34.7229,135.4539,132.2899216
34.7257,135.4594,34.7229,135.4566,132.2899216
34.7258,135.4621,34.723,135.4593,133.6775781
34.7258,135.4648,34.723,135.4621,135.7341562
34.7258,135.4675,34.723,135.4648,135.8145198
34.7258,135.4703,34.723,135.4675,138.6046671
34.7258,135.473,34.723,135.4703,144.0896507
34.7258,135.4757,34.723,135.473,148.5691218
34.7258,135.4785,34.723,135.4757,151.0143015
34.7258,135.4812,34.723,135.4784,154.1604328
34.7258,135.4839,34.7231,135.4812,153.953506
34.7259,135.4867,34.7231,135.4839,153.953506
34.7259,135.4894,34.7231,135.4866,152.8252658
34.7259,135.4921,34.7231,135.4894,152.6219055
34.7259,135.4948,34.7231,135.4921,150.2231329
34.7259,135.4976,34.7231,135.4948,162.4580198
34.7259,135.5003,34.7231,135.4976,158.5284893
34.7259,135.503,34.7231,135.5003,157.0093936
34.7259,135.5058,34.7231,135.503,152.6219055
34.726,135.5085,34.7232,135.5057,144.1802162
34.726,135.5112,34.7232,135.5085,141.2504458
34.726,135.514,34.7232,135.5112,132.1375138
34.726,135.5167,34.7232,135.5139,129.6725404
