原点(経度),原点(緯度),メッシュあたり導入P_MJ/y
135.5534762,34.73599996,72039.65738
135.5589375,34.73601984,24939.57797
135.5616681,34.73602969,839103.4656
135.5643987,34.73603946,212872.0869
135.4797643,34.73345417,1247000.338
135.4824948,34.73346576,5707689.534
135.4852253,34.73347729,7122723.642
135.4879558,34.73348876,11612496.61
135.4906863,34.73350018,11775347.6
135.4934168,34.73351154,12462154.26
135.4961473,34.73352284,9032671.547
135.4988779,34.73353408,5047822.559
135.5016084,34.73354527,1401132.631
135.5043389,34.73355641,536608.0811
135.5070694,34.73356749,568456.1501
135.5097999,34.73357851,694870.9348
135.5125305,34.73358947,978713.1492
135.515261,34.73360037,859016.1587
135.5179915,34.73361122,789923.7329
135.520722,34.733622,987304.5752
135.5234525,34.73363272,1167576.334
135.5261831,34.73364337,668333.9611
135.5289136,34.73365394,1170316.751
135.5316441,34.73366445,1141997.916
135.5343746,34.73367491,932387.9218
135.5371052,34.73368529,569479.1253
135.5398357,34.73369562,527780.4569
135.5425662,34.73370588,676742.0449
135.5452968,34.73371608,540970.7729
135.5480273,34.73372622,253510.9046
135.5507579,34.73373631,11913.33082
135.556219,34.73375629,72.28306924
135.5589495,34.7337662,502454.5171
135.5616801,34.73377604,766701.6157
135.5644106,34.73378581,40999.67823
135.4524742,34.7310814,11602.84459
135.4552046,34.73109358,2184251.294
135.457935,34.73110569,2496094.742
135.4606655,34.73111775,224639.0727
135.477048,34.7311889,6907905.06
135.4797785,34.73120055,12870961.07
135.4825089,34.73121214,11685725.7
135.4852393,34.73122367,10494529.65
135.4879697,34.73123514,13069324.24
135.4907002,34.73124656,11135847.27
135.4934306,34.73125792,10764069.26
135.496161,34.73126922,9516538.658
135.4988915,34.73128046,4966548.228
135.5016219,34.73129165,1206035.321
135.5043524,34.7313028,604278.7304
135.5070828,34.73131389,556744.7596
135.5098133,34.73132491,926222.135
135.5125437,34.73133587,1274115.261
135.5152742,34.73134678,1056423.2
135.5180046,34.73135763,1178350.747
135.5207351,34.73136841,1374485.178
135.5234655,34.73137914,1382945.057
135.526196,34.73138979,519618.9594
135.5289264,34.73140035,239065.5031
135.5316569,34.73141086,1925.379019
135.5535006,34.73149269,36471.28916
135.5562311,34.73150265,440601.5839
135.5589616,34.73151255,239224.8825
135.561692,34.73152238,4351.265305
135.4497587,34.72881555,196164.2538
135.4524891,34.72882779,14851367.9
135.4552194,34.72883997,15029197.77
135.4579498,34.72885209,17027730.15
135.4606801,34.72886415,13655427.29
135.4634105,34.72887615,9039181.563
135.4661408,34.7288881,1252942.198
135.4743319,34.72892358,2625363.388
135.4770623,34.72893528,15002666.01
135.4797926,34.72894693,14375653.55
135.482523,34.72895852,14979303.88
135.4852533,34.72897005,11766362.5
135.4879837,34.72898152,10613117.43
135.490714,34.72899294,12154090.07
135.4934444,34.7290043,12093153.58
135.4961747,34.7290156,7021738.686
135.4989051,34.72902684,2391788.766
135.5016355,34.72903804,1190888.775
135.5043658,34.72904919,440126.0081
135.5070962,34.72906028,718784.5535
135.5098266,34.72907131,1100055.497
135.512557,34.72908228,982439.836
135.5152873,34.72909319,1593127.46
135.5180177,34.72910404,1649650.337
135.5207481,34.72911483,1063752.386
135.5234785,34.72912556,81695.74761
135.548052,34.72921897,126241.9444
135.5507824,34.72922904,490865.8693
135.5535128,34.72923905,625439.6793
135.5562432,34.72924901,262065.7205
135.4497737,34.72656194,8677286.027
135.452504,34.72657419,19551589.91
135.4552343,34.72658637,11998226.52
135.4579645,34.72659848,13127857.87
135.4606948,34.72661054,12422159.37
135.4634251,34.72662254,15769959.2
135.4661554,34.72663449,19875951.63
135.4688856,34.72664637,17437917.68
135.4716159,34.7266582,16181272.53
135.4743462,34.72666996,15323741.51
135.4770765,34.72668167,14145215.48
135.4798068,34.72669332,13698938.72
135.482537,34.7267049,16377111.24
135.4852673,34.72671643,12185985.08
135.4879976,34.7267279,11514301.78
135.4907279,34.72673932,7232429.366
135.4934581,34.72675068,7767031.741
135.4961884,34.72676198,6168085.677
135.4989187,34.72677322,6304771.389
135.501649,34.72678442,1950113.393
135.5043793,34.72679558,803569.0355
135.5071096,34.72680667,1047479.792
135.5098399,34.72681771,1109217.66
135.5125702,34.72682868,1277626.519
135.5153005,34.7268396,1433084.525
135.5180308,34.72685045,834890.6304
135.5207611,34.72686125,230.4569981
135.5289521,34.72689318,34517.02697
135.5316824,34.72690367,386932.2404
135.5344127,34.72691411,790463.7732
135.537143,34.72692448,748429.9421
135.5398734,34.72693479,46801.95638
135.5426037,34.72694503,686176.3884
135.545334,34.72695521,958318.7386
135.5480643,34.72696533,1016921.131
135.5507947,34.7269754,865540.1938
135.553525,34.72698541,521214.7331
135.5562553,34.72699536,264985.3283
135.4497887,34.72430834,6921325.42
135.4525189,34.72432058,13702106.56
135.4552491,34.72433276,12674932.62
135.4579793,34.72434488,10942404.66
135.4607095,34.72435694,14742009.13
135.4634397,34.72436894,15365437.67
135.4661699,34.72438088,18251099.93
135.4689001,34.72439276,15164380.74
135.4716303,34.72440458,15592758.25
135.4743605,34.72441635,16063050.97
135.4770907,34.72442805,15789197.21
135.4798209,34.7244397,13242050.79
135.4825511,34.72445129,13331056.12
135.4852813,34.72446281,12220143.12
135.4880115,34.72447428,12988571.45
135.4907417,34.7244857,11993621.05
135.4934719,34.72449706,13417450.92
135.4962021,34.72450835,11021444.25
135.4989323,34.72451959,8022090.612
135.5016625,34.7245308,4208472.961
135.5043928,34.72454196,1571061.31
135.507123,34.72455306,1056818.242
135.5098532,34.7245641,1150193.34
135.5125835,34.72457508,1510901.965
135.5153137,34.724586,1262869.054
135.5180439,34.72459686,47886.49249
135.5262346,34.72462904,611559.5924
135.5289649,34.72463959,1467726.198
135.5316952,34.72465008,1030881.607
135.5344254,34.7246605,1329230.479
135.5371557,34.72467086,1119656.529
135.5398859,34.72468117,924958.875
135.5426162,34.7246914,1029306.858
135.5453464,34.72470158,1234756.338
135.5480767,34.7247117,1137352.075
135.5508069,34.72472176,856158.4705
135.5535372,34.72473176,659267.3643
135.5562674,34.72474171,367461.955
135.4498037,34.72205473,1338335.402
135.4525338,34.72206698,15711072.37
135.4552639,34.72207916,16390134.74
135.457994,34.72209128,15820369.44
135.4607241,34.72210334,9397029.039
135.4634543,34.72211534,15395536.2
135.4661844,34.72212728,17098851.72
135.4689145,34.72213916,16446085.74
135.4716447,34.72215097,13169541.71
135.4743748,34.72216273,15332901.12
135.4771049,34.72217444,13279854.38
135.479835,34.72218608,19019723.55
135.4825652,34.72219767,12712422.15
135.4852953,34.72220919,11918682.39
135.4880254,34.72222066,16048149.96
135.4907556,34.72223208,13562826.9
135.4934857,34.72224343,13585955.12
135.4962158,34.72225473,11972160.66
135.4989459,34.72226596,10529244.98
135.5016761,34.72227717,6075389.583
135.5044062,34.72228834,3534945.158
