右上経度,右上緯度,左下経度,左下緯度,メッシュあたり導入P_MJ/y
135.5467,34.7393,135.5439,34.7371,851142.4961
135.5494,34.7394,135.5466,34.7371,1109972.013
135.5521,34.7394,135.5493,34.7371,1168638.469
135.5549,34.7394,135.5521,34.7371,874779.3711
135.5576,34.7394,135.5548,34.7371,24917.18413
135.563,34.7394,135.5603,34.7372,441889.2259
135.5658,34.7394,135.563,34.7372,65592.75348
135.4866,34.7369,135.4838,34.7346,3195448.325
135.4893,34.7369,135.4866,34.7346,11961328.42
135.4921,34.7369,135.4893,34.7346,12077087.19
135.4948,34.7369,135.492,34.7346,10034043.13
135.4975,34.7369,135.4947,34.7346,6154289.903
135.5003,34.7369,135.4975,34.7347,2814273.349
135.503,34.7369,135.5002,34.7347,862121.0502
135.5057,34.7369,135.5029,34.7347,706268.9075
135.5084,34.7369,135.5057,34.7347,506774.8804
135.5112,34.737,135.5084,34.7347,696283.8804
135.5139,34.737,135.5111,34.7347,953793.5204
135.5166,34.737,135.5139,34.7347,976489.121
135.5194,34.737,135.5166,34.7347,1014683.983
135.5221,34.737,135.5193,34.7347,885323.5423
135.5248,34.737,135.5221,34.7348,804537.238
135.5276,34.737,135.5248,34.7348,1064754.426
135.5303,34.737,135.5275,34.7348,732508.6816
135.533,34.737,135.5302,34.7348,897227.6201
135.5357,34.7371,135.533,34.7348,996971.6081
135.5385,34.7371,135.5357,34.7348,945044.9681
135.5412,34.7371,135.5384,34.7348,1371048.904
135.5439,34.7371,135.5412,34.7348,1243985.531
135.5467,34.7371,135.5439,34.7348,1170607.658
135.5494,34.7371,135.5466,34.7349,1262253.296
135.5521,34.7371,135.5494,34.7349,841371.3448
135.5549,34.7371,135.5521,34.7349,72039.65738
135.5603,34.7371,135.5576,34.7349,24939.57797
135.5631,34.7372,135.5603,34.7349,839103.4656
135.5658,34.7372,135.563,34.7349,212872.0869
135.4812,34.7346,135.4784,34.7323,1247000.338
135.4839,34.7346,135.4811,34.7323,5707689.534
135.4866,34.7346,135.4838,34.7324,7122723.642
135.4893,34.7346,135.4866,34.7324,11612496.61
135.4921,34.7346,135.4893,34.7324,11775347.6
135.4948,34.7346,135.492,34.7324,12462154.26
135.4975,34.7346,135.4948,34.7324,9032671.547
135.5003,34.7347,135.4975,34.7324,5047822.559
135.503,34.7347,135.5002,34.7324,1401132.631
135.5057,34.7347,135.503,34.7324,536608.0811
135.5085,34.7347,135.5057,34.7324,568456.1501
135.5112,34.7347,135.5084,34.7325,694870.9348
135.5139,34.7347,135.5111,34.7325,978713.1492
135.5166,34.7347,135.5139,34.7325,859016.1587
135.5194,34.7347,135.5166,34.7325,789923.7329
135.5221,34.7347,135.5193,34.7325,987304.5752
135.5248,34.7348,135.5221,34.7325,1167576.334
135.5276,34.7348,135.5248,34.7325,668333.9611
135.5303,34.7348,135.5275,34.7325,1170316.751
135.533,34.7348,135.5303,34.7325,1141997.916
135.5358,34.7348,135.533,34.7325,932387.9218
135.5385,34.7348,135.5357,34.7326,569479.1253
135.5412,34.7348,135.5384,34.7326,527780.4569
135.544,34.7348,135.5412,34.7326,676742.0449
135.5467,34.7348,135.5439,34.7326,540970.7729
135.5494,34.7349,135.5466,34.7326,253510.9046
135.5521,34.7349,135.5494,34.7326,11913.33082
135.5576,34.7349,135.5548,34.7326,72.28306924
135.5603,34.7349,135.5576,34.7326,502454.5171
135.5631,34.7349,135.5603,34.7326,766701.6157
135.5658,34.7349,135.563,34.7327,40999.67823
135.4539,34.7322,135.4511,34.73,11602.84459
135.4566,34.7322,135.4538,34.73,2184251.294
135.4593,34.7322,135.4565,34.73,2496094.742
135.4621,34.7322,135.4593,34.73,224639.0727
135.4784,34.7323,135.4757,34.7301,6907905.06
135.4812,34.7323,135.4784,34.7301,12870961.07
135.4839,34.7323,135.4811,34.7301,11685725.7
135.4866,34.7324,135.4839,34.7301,10494529.65
135.4894,34.7324,135.4866,34.7301,13069324.24
135.4921,34.7324,135.4893,34.7301,11135847.27
135.4948,34.7324,135.492,34.7301,10764069.26
135.4975,34.7324,135.4948,34.7301,9516538.658
135.5003,34.7324,135.4975,34.7302,4966548.228
135.503,34.7324,135.5002,34.7302,1206035.321
135.5057,34.7324,135.503,34.7302,604278.7304
135.5085,34.7324,135.5057,34.7302,556744.7596
135.5112,34.7325,135.5084,34.7302,926222.135
135.5139,34.7325,135.5112,34.7302,1274115.261
135.5167,34.7325,135.5139,34.7302,1056423.2
135.5194,34.7325,135.5166,34.7302,1178350.747
135.5221,34.7325,135.5193,34.7302,1374485.178
135.5249,34.7325,135.5221,34.7303,1382945.057
135.5276,34.7325,135.5248,34.7303,519618.9594
135.5303,34.7325,135.5275,34.7303,239065.5031
135.533,34.7325,135.5303,34.7303,1925.379019
135.5549,34.7326,135.5521,34.7304,36471.28916
135.5576,34.7326,135.5548,34.7304,440601.5839
135.5603,34.7326,135.5576,34.7304,239224.8825
135.5631,34.7326,135.5603,34.7304,4351.265305
135.4511,34.7299,135.4484,34.7277,196164.2538
135.4539,34.73,135.4511,34.7277,14851367.9
135.4566,34.73,135.4538,34.7277,15029197.77
135.4593,34.73,135.4566,34.7277,17027730.15
135.4621,34.73,135.4593,34.7277,13655427.29
135.4648,34.73,135.462,34.7277,9039181.563
135.4675,34.73,135.4648,34.7278,1252942.198
135.4757,34.7301,135.4729,34.7278,2625363.388
135.4784,34.7301,135.4757,34.7278,15002666.01
135.4812,34.7301,135.4784,34.7278,14375653.55
135.4839,34.7301,135.4811,34.7278,14979303.88
135.4866,34.7301,135.4839,34.7278,11766362.5
135.4894,34.7301,135.4866,34.7279,10613117.43
135.4921,34.7301,135.4893,34.7279,12154090.07
135.4948,34.7301,135.4921,34.7279,12093153.58
135.4976,34.7301,135.4948,34.7279,7021738.686
135.5003,34.7302,135.4975,34.7279,2391788.766
135.503,34.7302,135.5002,34.7279,1190888.775
135.5058,34.7302,135.503,34.7279,440126.0081
135.5085,34.7302,135.5057,34.7279,718784.5535
135.5112,34.7302,135.5084,34.7279,1100055.497
135.5139,34.7302,135.5112,34.728,982439.836
135.5167,34.7302,135.5139,34.728,1593127.46
135.5194,34.7302,135.5166,34.728,1649650.337
135.5221,34.7302,135.5194,34.728,1063752.386
135.5249,34.7303,135.5221,34.728,81695.74761
135.5494,34.7303,135.5467,34.7281,126241.9444
135.5522,34.7304,135.5494,34.7281,490865.8693
135.5549,34.7304,135.5521,34.7281,625439.6793
135.5576,34.7304,135.5549,34.7281,262065.7205
135.4512,34.7277,135.4484,34.7254,8677286.027
135.4539,34.7277,135.4511,34.7254,19551589.91
135.4566,34.7277,135.4538,34.7255,11998226.52
135.4594,34.7277,135.4566,34.7255,13127857.87
135.4621,34.7277,135.4593,34.7255,12422159.37
135.4648,34.7277,135.462,34.7255,15769959.2
135.4675,34.7278,135.4648,34.7255,19875951.63
135.4703,34.7278,135.4675,34.7255,17437917.68
135.473,34.7278,135.4702,34.7255,16181272.53
135.4757,34.7278,135.473,34.7255,15323741.51
135.4785,34.7278,135.4757,34.7256,14145215.48
135.4812,34.7278,135.4784,34.7256,13698938.72
135.4839,34.7278,135.4812,34.7256,16377111.24
135.4867,34.7278,135.4839,34.7256,12185985.08
135.4894,34.7279,135.4866,34.7256,11514301.78
135.4921,34.7279,135.4893,34.7256,7232429.366
135.4948,34.7279,135.4921,34.7256,7767031.741
135.4976,34.7279,135.4948,34.7256,6168085.677
135.5003,34.7279,135.4975,34.7256,6304771.389
135.503,34.7279,135.5003,34.7257,1950113.393
135.5058,34.7279,135.503,34.7257,803569.0355
135.5085,34.7279,135.5057,34.7257,1047479.792
135.5112,34.7279,135.5085,34.7257,1109217.66
135.514,34.728,135.5112,34.7257,1277626.519
135.5167,34.728,135.5139,34.7257,1433084.525
135.5194,34.728,135.5166,34.7257,834890.6304
135.5221,34.728,135.5194,34.7257,230.4569981
135.5303,34.728,135.5276,34.7258,34517.02697
135.5331,34.728,135.5303,34.7258,386932.2404
135.5358,34.728,135.533,34.7258,790463.7732
135.5385,34.7281,135.5358,34.7258,748429.9421
135.5413,34.7281,135.5385,34.7258,46801.95638
135.544,34.7281,135.5412,34.7258,686176.3884
135.5467,34.7281,135.5439,34.7258,958318.7386
135.5495,34.7281,135.5467,34.7258,1016921.131
135.5522,34.7281,135.5494,34.7258,865540.1938
135.5549,34.7281,135.5521,34.7259,521214.7331
135.5576,34.7281,135.5549,34.7259,264985.3283
135.4512,34.7254,135.4484,34.7232,6921325.42
135.4539,34.7254,135.4511,34.7232,13702106.56
135.4566,34.7255,135.4539,34.7232,12674932.62
135.4594,34.7255,135.4566,34.7232,10942404.66
135.4621,34.7255,135.4593,34.7232,14742009.13
135.4648,34.7255,135.4621,34.7232,15365437.67
135.4676,34.7255,135.4648,34.7233,18251099.93
135.4703,34.7255,135.4675,34.7233,15164380.74
135.473,34.7255,135.4702,34.7233,15592758.25
135.4757,34.7255,135.473,34.7233,16063050.97
135.4785,34.7256,135.4757,34.7233,15789197.21
135.4812,34.7256,135.4784,34.7233,13242050.79
135.4839,34.7256,135.4812,34.7233,13331056.12
135.4867,34.7256,135.4839,34.7233,12220143.12
135.4894,34.7256,135.4866,34.7233,12988571.45
135.4921,34.7256,135.4894,34.7234,11993621.05
135.4949,34.7256,135.4921,34.7234,13417450.92
